Block,Seq,Start,End,Strand
210,NZ_CP009598.1,2882752,2876282,-
210,NC_012659.1,1981601,1988071,+
210,NZ_CP047107.1,5005536,4999066,-
210,NZ_CP018903.1,1981741,1988211,+
210,NZ_CP012727.1,1981644,1988114,+
210,NZ_CP047131.1,1968458,1974928,+
210,NZ_CP014179.1,1981701,1988171,+
210,NZ_CP009981.1,2509868,2503398,-
210,NZ_CP023001.1,4974729,4981199,+
210,NZ_CP012721.1,1981645,1988115,+
210,NZ_CP010852.1,2235895,2242365,+
210,NZ_CP031642.1,2013314,2019778,+
210,NC_012581.1,2257544,2251074,-
210,NZ_CP029805.1,1981705,1988175,+
210,NZ_CP010322.1,4927260,4933730,+
210,NZ_CP031643.1,2039420,2045890,+
210,NZ_CP047111.1,891336,884866,-
210,NZ_CP007618.1,2040390,2033920,-
210,NZ_CP001970.2,1981767,1988237,+
210,NZ_CP006742.1,1968371,1974841,+
210,NZ_CP009902.1,5111142,5104672,-
210,NZ_CP001974.2,1981741,1988211,+
210,NZ_CP022044.1,4781935,4788405,+
210,NZ_CP008854.1,1980820,1987289,+
210,NZ_CP009464.1,4344241,4337771,-
210,NZ_CP047097.1,1131786,1138256,+
210,NZ_CP007666.1,854289,860759,+
210,NZ_CP008846.1,1968445,1974915,+
210,NZ_CP009341.1,4509102,4515572,+
210,NZ_CP012728.1,1981644,1988114,+
210,NZ_CP015779.1,1981633,1988103,+
210,NZ_AP018443.1,1972226,1978696,+
210,NZ_CP012725.1,1981645,1988115,+
210,NZ_CP012729.1,1981644,1988114,+
210,NC_007530.2,1981701,1988171,+
210,NZ_CP047099.1,2359204,2365674,+
210,NZ_CP009700.1,394892,388422,-
210,NZ_CP001974.1,1981184,1987654,+
210,NC_017729.1,1971986,1978456,+
210,NZ_CP012720.1,1981645,1988115,+
210,NZ_CP012726.1,1981643,1988113,+
210,NC_003997.3,1981577,1988047,+
210,NZ_CP009541.1,644375,637905,-
210,NZ_CP012723.1,1981645,1988115,+
210,NZ_CP029323.1,1968785,1975255,+
210,NZ_CP008853.1,1981092,1987562,+
210,NZ_CP009476.1,778797,772327,-
210,NZ_CP012722.1,1981645,1988115,+
210,NC_005945.1,1981647,1988117,+
210,NZ_CP047104.1,4967798,4974268,+
210,NZ_CP001970.1,1981578,1988048,+
209,NZ_CP009697.1,5165684,5175828,+
209,NZ_CP009328.1,752183,762327,+
209,NZ_CP009315.1,3764263,3774407,+
209,NZ_AP019731.1,856816,866960,+
209,NZ_AP014833.1,3510408,3500264,-
209,NZ_CP047098.1,432475,422331,-
209,NZ_CP009325.1,3253022,3242879,-
209,NZ_CP019588.1,1959473,1969618,+
209,NZ_CP009544.1,2915792,2905647,-
209,NZ_CP012730.1,1959471,1969616,+
209,NZ_CP012724.1,1959470,1969615,+
209,NZ_CP009331.1,4717420,4707276,-
209,NZ_CP009598.1,2904928,2894783,-
209,NC_012659.1,1959427,1969571,+
209,NZ_CP047107.1,5027710,5017566,-
209,NZ_CP018903.1,1959566,1969710,+
209,NZ_CP012727.1,1959469,1969614,+
209,NZ_CP047131.1,1946283,1956427,+
209,NZ_CP014179.1,1959527,1969671,+
209,NZ_CP009981.1,2532042,2521898,-
209,NZ_CP023001.1,4952555,4962699,+
209,NZ_CP012721.1,1959470,1969615,+
209,NZ_CP010852.1,2213720,2223864,+
209,NZ_CP031642.1,1989517,2000107,+
209,NC_012581.1,2279699,2269557,-
209,NZ_CP029805.1,1959530,1969674,+
209,NZ_CP010322.1,4905085,4915229,+
209,NZ_CP031643.1,1971691,1982213,+
209,NZ_CP047111.1,913510,903366,-
209,NZ_CP007618.1,2062637,2052493,-
209,NZ_CP001970.2,1959593,1969737,+
209,NZ_CP006742.1,1946196,1956340,+
209,NZ_CP009902.1,5133389,5123245,-
209,NZ_CP001974.2,1959567,1969711,+
209,NZ_CP022044.1,4759760,4769905,+
209,NZ_CP008854.1,1958645,1968789,+
209,NZ_CP009464.1,4366398,4356254,-
209,NZ_CP047097.1,1109612,1119756,+
209,NZ_CP007666.1,832132,842276,+
209,NZ_CP008846.1,1946270,1956414,+
209,NZ_CP009341.1,4486926,4497071,+
209,NZ_CP012728.1,1959469,1969614,+
209,NZ_CP015779.1,1959459,1969603,+
209,NZ_AP018443.1,1950445,1960460,+
209,NZ_CP012725.1,1959470,1969615,+
209,NZ_CP012729.1,1959469,1969614,+
209,NC_007530.2,1959527,1969671,+
209,NZ_CP047099.1,2337030,2347174,+
209,NZ_CP009700.1,417067,406923,-
209,NZ_CP001974.1,1959008,1969153,+
209,NC_017729.1,1949811,1959955,+
209,NZ_CP012720.1,1959470,1969615,+
209,NZ_CP012726.1,1959468,1969613,+
209,NC_003997.3,1959403,1969547,+
209,NZ_CP009541.1,666550,656405,-
209,NZ_CP012723.1,1959470,1969615,+
209,NZ_CP029323.1,1946610,1956754,+
209,NZ_CP008853.1,1959046,1969061,+
209,NZ_CP009476.1,800492,790828,-
209,NZ_CP012722.1,1959470,1969615,+
209,NC_005945.1,1959471,1969617,+
209,NZ_CP047104.1,4945624,4955768,+
209,NZ_CP001970.1,1959403,1969547,+
208,NZ_CP009697.1,5151008,5163909,+
208,NZ_CP009328.1,737507,750408,+
208,NZ_CP009315.1,3749587,3762488,+
208,NZ_AP019731.1,842140,855041,+
208,NZ_AP014833.1,3525084,3512182,-
208,NZ_CP047098.1,447151,434249,-
208,NZ_CP009325.1,3267698,3254796,-
208,NZ_CP019588.1,1944797,1957698,+
208,NZ_CP009544.1,2930468,2917566,-
208,NZ_CP012730.1,1944795,1957696,+
208,NZ_CP012724.1,1944794,1957695,+
208,NZ_CP009331.1,4732096,4719194,-
208,NZ_CP009598.1,2919604,2906702,-
208,NC_012659.1,1944751,1957652,+
208,NZ_CP047107.1,5042386,5029484,-
208,NZ_CP018903.1,1944890,1957791,+
208,NZ_CP012727.1,1944793,1957694,+
208,NZ_CP047131.1,1931607,1944508,+
208,NZ_CP014179.1,1944851,1957752,+
208,NZ_CP009981.1,2546718,2533816,-
208,NZ_CP023001.1,4937879,4950780,+
208,NZ_CP012721.1,1944794,1957695,+
208,NZ_CP010852.1,2199044,2211945,+
208,NZ_CP031642.1,1971938,1984885,+
208,NC_012581.1,2294375,2281473,-
208,NZ_CP029805.1,1944854,1957755,+
208,NZ_CP010322.1,4890410,4903310,+
208,NZ_CP031643.1,1954029,1966960,+
208,NZ_CP047111.1,928186,915284,-
208,NZ_CP007618.1,2077325,2064423,-
208,NZ_CP001970.2,1944917,1957818,+
208,NZ_CP006742.1,1931520,1944421,+
208,NZ_CP009902.1,5148077,5135175,-
208,NZ_CP001974.2,1944891,1957792,+
208,NZ_CP022044.1,4745084,4757985,+
208,NZ_CP008854.1,1943969,1956870,+
208,NZ_CP009464.1,4381074,4368172,-
208,NZ_CP047097.1,1094936,1107837,+
208,NZ_CP007666.1,817456,830357,+
208,NZ_CP008846.1,1931594,1944495,+
208,NZ_CP009341.1,4472250,4485151,+
208,NZ_CP012728.1,1944793,1957694,+
208,NZ_CP015779.1,1944783,1957684,+
208,NZ_AP018443.1,1935769,1948670,+
208,NZ_CP012725.1,1944794,1957695,+
208,NZ_CP012729.1,1944793,1957694,+
208,NC_007530.2,1944851,1957752,+
208,NZ_CP047099.1,2322354,2335255,+
208,NZ_CP009700.1,431743,418841,-
208,NZ_CP001974.1,1944333,1957233,+
208,NC_017729.1,1935135,1948036,+
208,NZ_CP012720.1,1944794,1957695,+
208,NZ_CP012726.1,1944792,1957693,+
208,NC_003997.3,1944727,1957628,+
208,NZ_CP009541.1,681226,668324,-
208,NZ_CP012723.1,1944794,1957695,+
208,NZ_CP029323.1,1931934,1944835,+
208,NZ_CP008853.1,1944369,1957271,+
208,NZ_CP009476.1,815168,802266,-
208,NZ_CP012722.1,1944794,1957695,+
208,NC_005945.1,1944795,1957696,+
208,NZ_CP047104.1,4930948,4943849,+
208,NZ_CP001970.1,1944727,1957628,+
207,NZ_CP009697.1,5143159,5150953,+
207,NZ_CP009328.1,729658,737452,+
207,NZ_CP009315.1,3741738,3749532,+
207,NZ_AP019731.1,834291,842085,+
207,NZ_AP014833.1,3532933,3525139,-
207,NZ_CP047098.1,455000,447206,-
207,NZ_CP009325.1,3275547,3267753,-
207,NZ_CP019588.1,1936948,1944742,+
207,NZ_CP009544.1,2938317,2930523,-
207,NZ_CP012730.1,1936946,1944740,+
207,NZ_CP012724.1,1936945,1944739,+
207,NZ_CP009331.1,4739945,4732151,-
207,NZ_CP009598.1,2927453,2919659,-
207,NC_012659.1,1936902,1944696,+
207,NZ_CP047107.1,5050235,5042441,-
207,NZ_CP018903.1,1937041,1944835,+
207,NZ_CP012727.1,1936944,1944738,+
207,NZ_CP047131.1,1923758,1931552,+
207,NZ_CP014179.1,1937002,1944796,+
207,NZ_CP009981.1,2554567,2546773,-
207,NZ_CP023001.1,4930030,4937824,+
207,NZ_CP012721.1,1936945,1944739,+
207,NZ_CP010852.1,2191195,2198989,+
207,NZ_CP031642.1,1953526,1961292,+
207,NC_012581.1,2302224,2294430,-
207,NZ_CP029805.1,1937005,1944799,+
207,NZ_CP010322.1,4882561,4890355,+
207,NZ_CP031643.1,1935597,1943391,+
207,NZ_CP047111.1,936035,928241,-
207,NZ_CP007618.1,2085174,2077380,-
207,NZ_CP001970.2,1937068,1944862,+
207,NZ_CP006742.1,1923671,1931465,+
207,NZ_CP009902.1,5155926,5148132,-
207,NZ_CP001974.2,1937042,1944836,+
207,NZ_CP022044.1,4737235,4745029,+
207,NZ_CP008854.1,1936120,1943914,+
207,NZ_CP009464.1,4388923,4381129,-
207,NZ_CP047097.1,1087087,1094881,+
207,NZ_CP007666.1,809607,817401,+
207,NZ_CP008846.1,1923745,1931539,+
207,NZ_CP009341.1,4464434,4472195,+
207,NZ_CP012728.1,1936944,1944738,+
207,NZ_CP015779.1,1936934,1944728,+
207,NZ_AP018443.1,1927920,1935714,+
207,NZ_CP012725.1,1936945,1944739,+
207,NZ_CP012729.1,1936944,1944738,+
207,NC_007530.2,1937002,1944796,+
207,NZ_CP047099.1,2314505,2322299,+
207,NZ_CP009700.1,439591,431798,-
207,NZ_CP001974.1,1936484,1944278,+
207,NC_017729.1,1927286,1935080,+
207,NZ_CP012720.1,1936945,1944739,+
207,NZ_CP012726.1,1936943,1944737,+
207,NC_003997.3,1936878,1944672,+
207,NZ_CP009541.1,689075,681281,-
207,NZ_CP012723.1,1936945,1944739,+
207,NZ_CP029323.1,1924085,1931879,+
207,NZ_CP008853.1,1936520,1944314,+
207,NZ_CP009476.1,823017,815223,-
207,NZ_CP012722.1,1936945,1944739,+
207,NC_005945.1,1936946,1944740,+
207,NZ_CP047104.1,4923099,4930893,+
207,NZ_CP001970.1,1936878,1944672,+
206,NZ_CP009697.1,5133878,5142691,+
206,NZ_CP009328.1,720374,729190,+
206,NZ_CP009315.1,3732454,3741270,+
206,NZ_AP019731.1,825009,833823,+
206,NZ_AP014833.1,3542217,3533401,-
206,NZ_CP047098.1,464284,455468,-
206,NZ_CP009325.1,3284831,3276015,-
206,NZ_CP019588.1,1927664,1936480,+
206,NZ_CP009544.1,2947602,2938785,-
206,NZ_CP012730.1,1927662,1936478,+
206,NZ_CP012724.1,1927661,1936477,+
206,NZ_CP009331.1,4749229,4740413,-
206,NZ_CP009598.1,2936738,2927921,-
206,NC_012659.1,1927618,1936434,+
206,NZ_CP047107.1,5059519,5050703,-
206,NZ_CP018903.1,1927759,1936573,+
206,NZ_CP012727.1,1927660,1936476,+
206,NZ_CP047131.1,1914476,1923290,+
206,NZ_CP014179.1,1927718,1936534,+
206,NZ_CP009981.1,2563851,2555035,-
206,NZ_CP023001.1,4920746,4929562,+
206,NZ_CP012721.1,1927661,1936477,+
206,NZ_CP010852.1,2181911,2190727,+
206,NZ_CP031642.1,1944163,1953058,+
206,NC_012581.1,2311508,2302692,-
206,NZ_CP029805.1,1927721,1936537,+
206,NZ_CP010322.1,4873277,4882093,+
206,NZ_CP031643.1,1926271,1935119,+
206,NZ_CP047111.1,945319,936503,-
206,NZ_CP007618.1,2094538,2085642,-
206,NZ_CP001970.2,1927784,1936600,+
206,NZ_CP006742.1,1914389,1923203,+
206,NZ_CP009902.1,5165290,5156394,-
206,NZ_CP001974.2,1927758,1936574,+
206,NZ_CP022044.1,4727951,4736767,+
206,NZ_CP008854.1,1926836,1935652,+
206,NZ_CP009464.1,4398207,4389391,-
206,NZ_CP047097.1,1077803,1086619,+
206,NZ_CP007666.1,800323,809139,+
206,NZ_CP008846.1,1914463,1923277,+
206,NZ_CP009341.1,4455150,4463966,+
206,NZ_CP012728.1,1927660,1936476,+
206,NZ_CP015779.1,1927650,1936466,+
206,NZ_AP018443.1,1918636,1927452,+
206,NZ_CP012725.1,1927661,1936477,+
206,NZ_CP012729.1,1927660,1936476,+
206,NC_007530.2,1927718,1936534,+
206,NZ_CP047099.1,2305221,2314037,+
206,NZ_CP009700.1,448873,440059,-
206,NZ_CP001974.1,1927200,1936016,+
206,NC_017729.1,1918003,1926818,+
206,NZ_CP012720.1,1927661,1936477,+
206,NZ_CP012726.1,1927659,1936475,+
206,NC_003997.3,1927594,1936410,+
206,NZ_CP009541.1,698359,689543,-
206,NZ_CP012723.1,1927661,1936477,+
206,NZ_CP029323.1,1914803,1923617,+
206,NZ_CP008853.1,1927236,1936052,+
206,NZ_CP009476.1,832301,823485,-
206,NZ_CP012722.1,1927661,1936477,+
206,NC_005945.1,1927662,1936478,+
206,NZ_CP047104.1,4913815,4922631,+
206,NZ_CP001970.1,1927594,1936410,+
205,NZ_CP009697.1,5124708,5131791,+
205,NZ_CP009328.1,711203,718287,+
205,NZ_CP009315.1,3723283,3730367,+
205,NZ_AP019731.1,815839,822922,+
205,NZ_AP014833.1,3551386,3544303,-
205,NZ_CP047098.1,473454,466370,-
205,NZ_CP009325.1,3294002,3286918,-
205,NZ_CP019588.1,1918494,1925578,+
205,NZ_CP009544.1,2956773,2949689,-
205,NZ_CP012730.1,1918492,1925576,+
205,NZ_CP012724.1,1918491,1925575,+
205,NZ_CP009331.1,4758399,4751316,-
205,NZ_CP009598.1,2945909,2938825,-
205,NC_012659.1,1918448,1925532,+
205,NZ_CP047107.1,5068689,5061605,-
205,NZ_CP018903.1,1918589,1925672,+
205,NZ_CP012727.1,1918490,1925574,+
205,NZ_CP047131.1,1905306,1912389,+
205,NZ_CP014179.1,1918548,1925632,+
205,NZ_CP009981.1,2573021,2565937,-
205,NZ_CP023001.1,4911576,4918660,+
205,NZ_CP012721.1,1918491,1925575,+
205,NZ_CP010852.1,2172740,2179824,+
205,NZ_CP031642.1,1934992,1942076,+
205,NC_012581.1,2320679,2313595,-
205,NZ_CP029805.1,1918550,1925634,+
205,NZ_CP010322.1,4864106,4871190,+
205,NZ_CP031643.1,1917126,1924223,+
205,NZ_CP047111.1,954489,947405,-
205,NZ_CP007618.1,2103709,2096625,-
205,NZ_CP001970.2,1918614,1925698,+
205,NZ_CP006742.1,1905219,1912302,+
205,NZ_CP009902.1,5174461,5167377,-
205,NZ_CP001974.2,1918588,1925672,+
205,NZ_CP022044.1,4718781,4725865,+
205,NZ_CP008854.1,1917668,1924750,+
205,NZ_CP009464.1,4407378,4400294,-
205,NZ_CP047097.1,1068633,1075717,+
205,NZ_CP007666.1,791152,798236,+
205,NZ_CP008846.1,1905293,1912376,+
205,NZ_CP009341.1,4445979,4453063,+
205,NZ_CP012728.1,1918490,1925574,+
205,NZ_CP015779.1,1918480,1925564,+
205,NZ_AP018443.1,1909467,1916549,+
205,NZ_CP012725.1,1918491,1925575,+
205,NZ_CP012729.1,1918490,1925574,+
205,NC_007530.2,1918548,1925632,+
205,NZ_CP047099.1,2296051,2303135,+
205,NZ_CP009700.1,458043,450960,-
205,NZ_CP001974.1,1918029,1925114,+
205,NC_017729.1,1908833,1915917,+
205,NZ_CP012720.1,1918491,1925575,+
205,NZ_CP012726.1,1918489,1925573,+
205,NC_003997.3,1918424,1925508,+
205,NZ_CP009541.1,707529,700445,-
205,NZ_CP012723.1,1918491,1925575,+
205,NZ_CP029323.1,1905633,1912716,+
205,NZ_CP008853.1,1918066,1925149,+
205,NZ_CP009476.1,841472,834388,-
205,NZ_CP012722.1,1918491,1925575,+
205,NC_005945.1,1918492,1925576,+
205,NZ_CP047104.1,4904645,4911729,+
205,NZ_CP001970.1,1918424,1925508,+
204,NZ_CP009697.1,5051092,5106967,+
204,NZ_CP009328.1,637618,693461,+
204,NZ_CP009315.1,3649698,3705541,+
204,NZ_AP019731.1,742229,798098,+
204,NZ_AP014833.1,3624969,3569128,-
204,NZ_CP047098.1,547037,491196,-
204,NZ_CP009325.1,3367585,3311743,-
204,NZ_CP019588.1,1844911,1900752,+
204,NZ_CP009544.1,3030354,2974515,-
204,NZ_CP012730.1,1844909,1900750,+
204,NZ_CP012724.1,1844908,1900749,+
204,NZ_CP009331.1,4831979,4776140,-
204,NZ_CP009598.1,3019492,2963651,-
204,NC_012659.1,1844865,1900706,+
204,NZ_CP047107.1,5142272,5086431,-
204,NZ_CP018903.1,1844975,1900849,+
204,NZ_CP012727.1,1844907,1900748,+
204,NZ_CP047131.1,1831694,1887565,+
204,NZ_CP014179.1,1844965,1900806,+
204,NZ_CP009981.1,2646604,2590763,-
204,NZ_CP023001.1,4837994,4893834,+
204,NZ_CP012721.1,1844908,1900749,+
204,NZ_CP010852.1,2099156,2154998,+
204,NZ_CP031642.1,1867345,1923663,+
204,NC_012581.1,2394264,2338421,-
204,NZ_CP029805.1,1844966,1900808,+
204,NZ_CP010322.1,4790520,4846363,+
204,NZ_CP031643.1,1847395,1905239,+
204,NZ_CP047111.1,1028072,972231,-
204,NZ_CP007618.1,2177280,2121450,-
204,NZ_CP001970.2,1845031,1900872,+
204,NZ_CP006742.1,1831609,1887478,+
204,NZ_CP009902.1,5248083,5192202,-
204,NZ_CP001974.2,1845005,1900846,+
204,NZ_CP022044.1,4645198,4701039,+
204,NZ_CP008854.1,1844095,1899928,+
204,NZ_CP009464.1,4480963,4425120,-
204,NZ_CP047097.1,995050,1050891,+
204,NZ_CP007666.1,717568,773410,+
204,NZ_CP008846.1,1831613,1887552,+
204,NZ_CP009341.1,4372396,4428237,+
204,NZ_CP012728.1,1844907,1900748,+
204,NZ_CP015779.1,1844897,1900738,+
204,NZ_AP018443.1,1835883,1891725,+
204,NZ_CP012725.1,1844908,1900749,+
204,NZ_CP012729.1,1844907,1900748,+
204,NC_007530.2,1844965,1900806,+
204,NZ_CP047099.1,2222468,2278309,+
204,NZ_CP009700.1,531655,475784,-
204,NZ_CP001974.1,1844792,1900286,+
204,NC_017729.1,1835610,1891103,+
204,NZ_CP012720.1,1844908,1900749,+
204,NZ_CP012726.1,1844906,1900747,+
204,NC_003997.3,1844842,1900683,+
204,NZ_CP009541.1,781112,725271,-
204,NZ_CP012723.1,1844908,1900749,+
204,NZ_CP029323.1,1832020,1887892,+
204,NZ_CP008853.1,1844488,1900324,+
204,NZ_CP009476.1,915004,859214,-
204,NZ_CP012722.1,1844908,1900749,+
204,NC_005945.1,1844909,1900750,+
204,NZ_CP047104.1,4831062,4886903,+
204,NZ_CP001970.1,1844840,1900682,+
203,NZ_CP009697.1,5020615,5050413,+
203,NZ_CP009328.1,607140,636939,+
203,NZ_CP009315.1,3619220,3649019,+
203,NZ_AP019731.1,711752,741550,+
203,NZ_AP014833.1,3655447,3625648,-
203,NZ_CP047098.1,577515,547716,-
203,NZ_CP009325.1,3398063,3368264,-
203,NZ_CP019588.1,1814433,1844232,+
203,NZ_CP009544.1,3060832,3031033,-
203,NZ_CP012730.1,1814431,1844230,+
203,NZ_CP012724.1,1814430,1844229,+
203,NZ_CP009331.1,4862457,4832658,-
203,NZ_CP009598.1,3049969,3020171,-
203,NC_012659.1,1814387,1844186,+
203,NZ_CP047107.1,5172750,5142951,-
203,NZ_CP018903.1,1814498,1844296,+
203,NZ_CP012727.1,1814429,1844228,+
203,NZ_CP047131.1,1801218,1831016,+
203,NZ_CP014179.1,1814487,1844286,+
203,NZ_CP009981.1,2677082,2647283,-
203,NZ_CP023001.1,4807516,4837315,+
203,NZ_CP012721.1,1814430,1844229,+
203,NZ_CP010852.1,2068678,2098477,+
203,NZ_CP031642.1,1836642,1866666,+
203,NC_012581.1,2424742,2394943,-
203,NZ_CP029805.1,1814488,1844287,+
203,NZ_CP010322.1,4760042,4789841,+
203,NZ_CP031643.1,1811739,1841780,+
203,NZ_CP047111.1,1058550,1028751,-
203,NZ_CP007618.1,2207752,2177959,-
203,NZ_CP001970.2,1814553,1844352,+
203,NZ_CP006742.1,1801132,1830930,+
203,NZ_CP009902.1,5278555,5248762,-
203,NZ_CP001974.2,1814527,1844326,+
203,NZ_CP022044.1,4614720,4644519,+
203,NZ_CP008854.1,1813622,1843416,+
203,NZ_CP009464.1,4511441,4481642,-
203,NZ_CP047097.1,964572,994371,+
203,NZ_CP007666.1,687090,716889,+
203,NZ_CP008846.1,1801137,1830934,+
203,NZ_CP009341.1,4341918,4371717,+
203,NZ_CP012728.1,1814429,1844228,+
203,NZ_CP015779.1,1814419,1844218,+
203,NZ_AP018443.1,1805405,1835204,+
203,NZ_CP012725.1,1814430,1844229,+
203,NZ_CP012729.1,1814429,1844228,+
203,NC_007530.2,1814487,1844286,+
203,NZ_CP047099.1,2191990,2221789,+
203,NZ_CP009700.1,562132,532334,-
203,NZ_CP001974.1,1814313,1844113,+
203,NC_017729.1,1805129,1834931,+
203,NZ_CP012720.1,1814430,1844229,+
203,NZ_CP012726.1,1814428,1844227,+
203,NC_003997.3,1814364,1844163,+
203,NZ_CP009541.1,811590,781791,-
203,NZ_CP012723.1,1814430,1844229,+
203,NZ_CP029323.1,1801543,1831341,+
203,NZ_CP008853.1,1814024,1843809,+
203,NZ_CP009476.1,945482,915683,-
203,NZ_CP012722.1,1814430,1844229,+
203,NC_005945.1,1814431,1844230,+
203,NZ_CP047104.1,4800584,4830383,+
203,NZ_CP001970.1,1814361,1844161,+
202,NZ_CP009697.1,5008580,5015578,+
202,NZ_CP009328.1,595100,602103,+
202,NZ_CP009315.1,3607180,3614183,+
202,NZ_AP019731.1,699718,706715,+
202,NZ_AP014833.1,3667487,3660484,-
202,NZ_CP047098.1,589555,582552,-
202,NZ_CP009325.1,3410103,3403100,-
202,NZ_CP019588.1,1802393,1809396,+
202,NZ_CP009544.1,3072872,3065869,-
202,NZ_CP012730.1,1802391,1809394,+
202,NZ_CP012724.1,1802390,1809393,+
202,NZ_CP009331.1,4874497,4867494,-
202,NZ_CP009598.1,3062009,3055006,-
202,NC_012659.1,1802347,1809350,+
202,NZ_CP047107.1,5184790,5177787,-
202,NZ_CP018903.1,1802463,1809461,+
202,NZ_CP012727.1,1802389,1809392,+
202,NZ_CP047131.1,1789183,1796181,+
202,NZ_CP014179.1,1802447,1809450,+
202,NZ_CP009981.1,2689122,2682119,-
202,NZ_CP023001.1,4795472,4802479,+
202,NZ_CP012721.1,1802390,1809393,+
202,NZ_CP010852.1,2056638,2063641,+
202,NZ_CP031642.1,1824160,1831148,+
202,NC_012581.1,2436777,2429779,-
202,NZ_CP029805.1,1802448,1809451,+
202,NZ_CP010322.1,4748002,4755005,+
202,NZ_CP031643.1,1801045,1808007,+
202,NZ_CP047111.1,1070590,1063587,-
202,NZ_CP007618.1,2219786,2212789,-
202,NZ_CP001970.2,1802513,1809516,+
202,NZ_CP006742.1,1789097,1796095,+
202,NZ_CP009902.1,5290589,5283592,-
202,NZ_CP001974.2,1802487,1809490,+
202,NZ_CP022044.1,4602680,4609683,+
202,NZ_CP008854.1,1801584,1808587,+
202,NZ_CP009464.1,4523481,4516478,-
202,NZ_CP047097.1,952532,959535,+
202,NZ_CP007666.1,675050,682053,+
202,NZ_CP008846.1,1789103,1796101,+
202,NZ_CP009341.1,4329883,4336881,+
202,NZ_CP012728.1,1802389,1809392,+
202,NZ_CP015779.1,1802379,1809382,+
202,NZ_AP018443.1,1793365,1800368,+
202,NZ_CP012725.1,1802390,1809393,+
202,NZ_CP012729.1,1802389,1809392,+
202,NC_007530.2,1802447,1809450,+
202,NZ_CP047099.1,2179950,2186953,+
202,NZ_CP009700.1,574167,567169,-
202,NZ_CP001974.1,1802274,1809277,+
202,NC_017729.1,1793089,1800092,+
202,NZ_CP012720.1,1802390,1809393,+
202,NZ_CP012726.1,1802388,1809391,+
202,NC_003997.3,1802324,1809327,+
