Seq_id	Size	Description
1	5213091	NZ_CP009697.1
2	5229969	NZ_CP009328.1
3	5228731	NZ_CP009315.1
4	5209705	NZ_AP019731.1
5	5228065	NZ_AP014833.1
6	5227419	NZ_CP047098.1
7	5221627	NZ_CP009325.1
8	5228667	NZ_CP019588.1
9	5214671	NZ_CP009544.1
10	5228660	NZ_CP012730.1
11	5227094	NZ_CP012724.1
12	5228730	NZ_CP009331.1
13	5228687	NZ_CP009598.1
14	5227419	NC_012659.1
15	5227452	NZ_CP047107.1
16	5227565	NZ_CP018903.1
17	5227090	NZ_CP012727.1
18	5213520	NZ_CP047131.1
19	5226939	NZ_CP014179.1
20	5227448	NZ_CP009981.1
21	5245242	NZ_CP023001.1
22	5228657	NZ_CP012721.1
23	5200187	NZ_CP010852.1
24	5231857	NZ_CP031642.1
25	5230114	NC_012581.1
26	5228599	NZ_CP029805.1
27	5229188	NZ_CP010322.1
28	5291783	NZ_CP031643.1
29	5227450	NZ_CP047111.1
30	5236981	NZ_CP007618.1
31	5228842	NZ_CP001970.2
32	5210966	NZ_CP006742.1
33	5321900	NZ_CP009902.1
34	5228828	NZ_CP001974.2
35	5228806	NZ_CP022044.1
36	5225433	NZ_CP008854.1
37	5230088	NZ_CP009464.1
38	5225746	NZ_CP047097.1
39	5229464	NZ_CP007666.1
40	5213498	NZ_CP008846.1
41	5222128	NZ_CP009341.1
42	5227079	NZ_CP012728.1
43	5227292	NZ_CP015779.1
44	5219278	NZ_AP018443.1
45	5227091	NZ_CP012725.1
46	5227092	NZ_CP012729.1
47	5227419	NC_007530.2
48	5227419	NZ_CP047099.1
49	5210541	NZ_CP009700.1
50	5227683	NZ_CP001974.1
51	5218947	NC_017729.1
52	5228656	NZ_CP012720.1
53	5227060	NZ_CP012726.1
54	5227293	NC_003997.3
55	5227496	NZ_CP009541.1
56	5228656	NZ_CP012723.1
57	5213292	NZ_CP029323.1
58	5227170	NZ_CP008853.1
59	5200078	NZ_CP009476.1
60	5228658	NZ_CP012722.1
61	5228663	NC_005945.1
62	5227438	NZ_CP047104.1
63	5227898	NZ_CP001970.1
--------------------------------------------------------------------------------
Block #214
Seq_id	Strand	Start	End	Length
21	+	4920746	4929562	8816
22	+	1927661	1936477	8816
23	+	2181911	2190727	8816
24	+	1944163	1953058	8895
25	-	2311508	2302692	8816
26	+	1927721	1936537	8816
27	+	4873277	4882093	8816
28	+	1926271	1935119	8848
29	-	945319	936503	8816
30	-	2094538	2085642	8896
31	+	1927784	1936600	8816
32	+	1914389	1923203	8814
33	-	5165290	5156394	8896
34	+	1927758	1936574	8816
35	+	4727951	4736767	8816
36	+	1926836	1935652	8816
37	-	4398207	4389391	8816
38	+	1077803	1086619	8816
39	+	800323	809139	8816
40	+	1914463	1923277	8814
41	+	4455150	4463966	8816
42	+	1927660	1936476	8816
43	+	1927650	1936466	8816
44	+	1918636	1927452	8816
45	+	1927661	1936477	8816
46	+	1927660	1936476	8816
47	+	1927718	1936534	8816
48	+	2305221	2314037	8816
49	-	448873	440059	8814
50	+	1927200	1936016	8816
51	+	1918003	1926818	8815
52	+	1927661	1936477	8816
53	+	1927659	1936475	8816
54	+	1927594	1936410	8816
55	-	698359	689543	8816
56	+	1927661	1936477	8816
57	+	1914803	1923617	8814
58	+	1927236	1936052	8816
59	-	832301	823485	8816
60	+	1927661	1936477	8816
61	+	1927662	1936478	8816
62	+	4913815	4922631	8816
63	+	1927594	1936410	8816
--------------------------------------------------------------------------------
Block #205
Seq_id	Strand	Start	End	Length
1	+	5124708	5131791	7083
2	+	711203	718287	7084
3	+	3723283	3730367	7084
4	+	815839	822922	7083
5	-	3551386	3544303	7083
6	-	473454	466370	7084
7	-	3294002	3286918	7084
8	+	1918494	1925578	7084
9	-	2956773	2949689	7084
10	+	1918492	1925576	7084
11	+	1918491	1925575	7084
12	-	4758399	4751316	7083
13	-	2945909	2938825	7084
14	+	1918448	1925532	7084
15	-	5068689	5061605	7084
16	+	1918589	1925672	7083
17	+	1918490	1925574	7084
18	+	1905306	1912389	7083
19	+	1918548	1925632	7084
20	-	2573021	2565937	7084
21	+	4911576	4918660	7084
22	+	1918491	1925575	7084
23	+	2172740	2179824	7084
24	+	1934992	1942076	7084
25	-	2320679	2313595	7084
26	+	1918550	1925634	7084
27	+	4864106	4871190	7084
28	+	1917126	1924223	7097
29	-	954489	947405	7084
30	-	2103709	2096625	7084
31	+	1918614	1925698	7084
32	+	1905219	1912302	7083
33	-	5174461	5167377	7084
34	+	1918588	1925672	7084
35	+	4718781	4725865	7084
36	+	1917668	1924750	7082
37	-	4407378	4400294	7084
38	+	1068633	1075717	7084
39	+	791152	798236	7084
40	+	1905293	1912376	7083
41	+	4445979	4453063	7084
42	+	1918490	1925574	7084
43	+	1918480	1925564	7084
44	+	1909467	1916549	7082
45	+	1918491	1925575	7084
46	+	1918490	1925574	7084
47	+	1918548	1925632	7084
48	+	2296051	2303135	7084
49	-	458043	450960	7083
50	+	1918029	1925114	7085
51	+	1908833	1915917	7084
52	+	1918491	1925575	7084
53	+	1918489	1925573	7084
54	+	1918424	1925508	7084
55	-	707529	700445	7084
56	+	1918491	1925575	7084
57	+	1905633	1912716	7083
58	+	1918066	1925149	7083
59	-	841472	834388	7084
60	+	1918491	1925575	7084
61	+	1918492	1925576	7084
62	+	4904645	4911729	7084
63	+	1918424	1925508	7084
--------------------------------------------------------------------------------
Block #204
Seq_id	Strand	Start	End	Length
1	+	5051092	5106967	55875
2	+	637618	693461	55843
3	+	3649698	3705541	55843
4	+	742229	798098	55869
5	-	3624969	3569128	55841
6	-	547037	491196	55841
7	-	3367585	3311743	55842
8	+	1844911	1900752	55841
9	-	3030354	2974515	55839
10	+	1844909	1900750	55841
11	+	1844908	1900749	55841
12	-	4831979	4776140	55839
13	-	3019492	2963651	55841
14	+	1844865	1900706	55841
15	-	5142272	5086431	55841
16	+	1844975	1900849	55874
17	+	1844907	1900748	55841
18	+	1831694	1887565	55871
19	+	1844965	1900806	55841
20	-	2646604	2590763	55841
21	+	4837994	4893834	55840
22	+	1844908	1900749	55841
23	+	2099156	2154998	55842
24	+	1867345	1923663	56318
25	-	2394264	2338421	55843
26	+	1844966	1900808	55842
27	+	4790520	4846363	55843
28	+	1847395	1905239	57844
29	-	1028072	972231	55841
30	-	2177280	2121450	55830
31	+	1845031	1900872	55841
32	+	1831609	1887478	55869
33	-	5248083	5192202	55881
34	+	1845005	1900846	55841
35	+	4645198	4701039	55841
36	+	1844095	1899928	55833
37	-	4480963	4425120	55843
38	+	995050	1050891	55841
39	+	717568	773410	55842
40	+	1831613	1887552	55939
41	+	4372396	4428237	55841
42	+	1844907	1900748	55841
43	+	1844897	1900738	55841
44	+	1835883	1891725	55842
45	+	1844908	1900749	55841
46	+	1844907	1900748	55841
47	+	1844965	1900806	55841
48	+	2222468	2278309	55841
49	-	531655	475784	55871
50	+	1844792	1900286	55494
51	+	1835610	1891103	55493
52	+	1844908	1900749	55841
53	+	1844906	1900747	55841
54	+	1844842	1900683	55841
55	-	781112	725271	55841
56	+	1844908	1900749	55841
57	+	1832020	1887892	55872
58	+	1844488	1900324	55836
59	-	915004	859214	55790
60	+	1844908	1900749	55841
61	+	1844909	1900750	55841
62	+	4831062	4886903	55841
63	+	1844840	1900682	55842
--------------------------------------------------------------------------------
Block #203
Seq_id	Strand	Start	End	Length
1	+	5020615	5050413	29798
2	+	607140	636939	29799
3	+	3619220	3649019	29799
4	+	711752	741550	29798
5	-	3655447	3625648	29799
6	-	577515	547716	29799
7	-	3398063	3368264	29799
8	+	1814433	1844232	29799
9	-	3060832	3031033	29799
10	+	1814431	1844230	29799
11	+	1814430	1844229	29799
12	-	4862457	4832658	29799
13	-	3049969	3020171	29798
14	+	1814387	1844186	29799
15	-	5172750	5142951	29799
16	+	1814498	1844296	29798
17	+	1814429	1844228	29799
18	+	1801218	1831016	29798
19	+	1814487	1844286	29799
20	-	2677082	2647283	29799
21	+	4807516	4837315	29799
22	+	1814430	1844229	29799
23	+	2068678	2098477	29799
24	+	1836642	1866666	30024
25	-	2424742	2394943	29799
26	+	1814488	1844287	29799
27	+	4760042	4789841	29799
28	+	1811739	1841780	30041
29	-	1058550	1028751	29799
30	-	2207752	2177959	29793
31	+	1814553	1844352	29799
32	+	1801132	1830930	29798
33	-	5278555	5248762	29793
34	+	1814527	1844326	29799
35	+	4614720	4644519	29799
36	+	1813622	1843416	29794
37	-	4511441	4481642	29799
38	+	964572	994371	29799
39	+	687090	716889	29799
40	+	1801137	1830934	29797
41	+	4341918	4371717	29799
42	+	1814429	1844228	29799
43	+	1814419	1844218	29799
44	+	1805405	1835204	29799
45	+	1814430	1844229	29799
46	+	1814429	1844228	29799
47	+	1814487	1844286	29799
48	+	2191990	2221789	29799
49	-	562132	532334	29798
50	+	1814313	1844113	29800
51	+	1805129	1834931	29802
52	+	1814430	1844229	29799
53	+	1814428	1844227	29799
54	+	1814364	1844163	29799
55	-	811590	781791	29799
56	+	1814430	1844229	29799
57	+	1801543	1831341	29798
58	+	1814024	1843809	29785
59	-	945482	915683	29799
60	+	1814430	1844229	29799
61	+	1814431	1844230	29799
62	+	4800584	4830383	29799
63	+	1814361	1844161	29800
--------------------------------------------------------------------------------
Block #202
Seq_id	Strand	Start	End	Length
1	+	5008580	5015578	6998
2	+	595100	602103	7003
3	+	3607180	3614183	7003
4	+	699718	706715	6997
5	-	3667487	3660484	7003
6	-	589555	582552	7003
7	-	3410103	3403100	7003
8	+	1802393	1809396	7003
9	-	3072872	3065869	7003
10	+	1802391	1809394	7003
11	+	1802390	1809393	7003
12	-	4874497	4867494	7003
13	-	3062009	3055006	7003
14	+	1802347	1809350	7003
15	-	5184790	5177787	7003
16	+	1802463	1809461	6998
17	+	1802389	1809392	7003
18	+	1789183	1796181	6998
19	+	1802447	1809450	7003
20	-	2689122	2682119	7003
21	+	4795472	4802479	7007
22	+	1802390	1809393	7003
23	+	2056638	2063641	7003
24	+	1824160	1831148	6988
25	-	2436777	2429779	6998
26	+	1802448	1809451	7003
27	+	4748002	4755005	7003
28	+	1801045	1808007	6962
29	-	1070590	1063587	7003
30	-	2219786	2212789	6997
31	+	1802513	1809516	7003
32	+	1789097	1796095	6998
33	-	5290589	5283592	6997
34	+	1802487	1809490	7003
35	+	4602680	4609683	7003
36	+	1801584	1808587	7003
37	-	4523481	4516478	7003
38	+	952532	959535	7003
39	+	675050	682053	7003
40	+	1789103	1796101	6998
41	+	4329883	4336881	6998
42	+	1802389	1809392	7003
43	+	1802379	1809382	7003
44	+	1793365	1800368	7003
45	+	1802390	1809393	7003
46	+	1802389	1809392	7003
47	+	1802447	1809450	7003
48	+	2179950	2186953	7003
49	-	574167	567169	6998
50	+	1802274	1809277	7003
51	+	1793089	1800092	7003
52	+	1802390	1809393	7003
53	+	1802388	1809391	7003
54	+	1802324	1809327	7003
55	-	823630	816627	7003
56	+	1802390	1809393	7003
57	+	1789508	1796506	6998
58	+	1801982	1808988	7006
59	-	957522	950519	7003
60	+	1802390	1809393	7003
61	+	1802391	1809394	7003
62	+	4788544	4795547	7003
63	+	1802321	1809324	7003
--------------------------------------------------------------------------------
Block #201
Seq_id	Strand	Start	End	Length
1	+	4981779	4986889	5110
2	+	568307	573417	5110
3	+	3580381	3585490	5109
4	+	672920	678027	5107
5	-	3694287	3689177	5110
6	-	616355	611245	5110
7	-	3436903	3431793	5110
8	+	1775593	1780703	5110
9	-	3099672	3094562	5110
10	+	1775591	1780701	5110
11	+	1775590	1780700	5110
12	-	4901297	4896187	5110
13	-	3088809	3083699	5110
14	+	1775547	1780657	5110
15	-	5211590	5206480	5110
16	+	1775662	1780772	5110
17	+	1775589	1780699	5110
18	+	1762382	1767492	5110
19	+	1775647	1780757	5110
20	-	2715922	2710812	5110
21	+	4768674	4773784	5110
22	+	1775590	1780700	5110
23	+	2029838	2034948	5110
24	+	1797803	1802914	5111
25	-	2463570	2458460	5110
26	+	1775651	1780758	5107
27	+	4721201	4726312	5111
28	+	1775877	1780949	5072
29	-	1097390	1092280	5110
30	-	2246586	2241479	5107
31	+	1775713	1780823	5110
32	+	1762299	1767406	5107
33	-	5317389	5312282	5107
34	+	1775686	1780796	5110
35	+	4575880	4580990	5110
36	+	1774787	1779897	5110
37	-	4550274	4545164	5110
38	+	925732	930842	5110
39	+	648257	653367	5110
40	+	1762302	1767412	5110
41	+	4303086	4308193	5107
42	+	1775589	1780699	5110
43	+	1775579	1780689	5110
44	+	1766565	1771675	5110
45	+	1775590	1780700	5110
46	+	1775589	1780699	5110
47	+	1775647	1780757	5110
48	+	2153150	2158260	5110
49	-	600965	595858	5107
50	+	1775473	1780583	5110
51	+	1766292	1771399	5107
52	+	1775590	1780700	5110
53	+	1775588	1780698	5110
54	+	1775524	1780634	5110
55	-	850430	845320	5110
56	+	1775590	1780700	5110
57	+	1762707	1767817	5110
58	+	1775185	1780295	5110
59	-	984322	979212	5110
60	+	1775590	1780700	5110
61	+	1775591	1780701	5110
62	+	4761744	4766854	5110
63	+	1775520	1780630	5110
--------------------------------------------------------------------------------
Block #200
Seq_id	Strand	Start	End	Length
1	+	4965936	4977286	11350
2	+	552471	563820	11349
3	+	3564545	3575894	11349
4	+	657077	668427	11350
5	-	3710122	3698774	11348
6	-	632191	620842	11349
7	-	3452738	3441390	11348
8	+	1759757	1771106	11349
9	-	3115447	3104159	11288
10	+	1759755	1771104	11349
11	+	1759754	1771103	11349
12	-	4917132	4905784	11348
13	-	3104584	3093296	11288
14	+	1759710	1771060	11350
15	-	5227452	5216077	11375
16	+	1759819	1771169	11350
17	+	1759753	1771102	11349
18	+	1746539	1757889	11350
19	+	1759810	1771160	11350
20	-	2731758	2720409	11349
21	+	4752839	4764187	11348
22	+	1759754	1771103	11349
23	+	2014002	2025351	11349
24	+	1781849	1793157	11308
25	-	2479405	2468057	11348
26	+	1759815	1771164	11349
27	+	4705365	4716714	11349
28	+	1745780	1757961	12181
29	-	1113226	1101877	11349
30	-	2262422	2251073	11349
31	+	1759877	1771226	11349
32	+	1746457	1757806	11349
33	-	11305	1	11304
34	+	1759850	1771199	11349
35	+	4560044	4571393	11349
36	+	1758951	1770300	11349
37	-	4566109	4554761	11348
38	+	909895	921245	11350
39	+	632421	643770	11349
40	+	1746459	1757809	11350
41	+	4287250	4298599	11349
42	+	1759753	1771102	11349
43	+	1759742	1771092	11350
44	+	1750729	1762078	11349
45	+	1759754	1771103	11349
46	+	1759753	1771102	11349
47	+	1759810	1771160	11350
48	+	2137313	2148663	11350
49	-	616806	605458	11348
50	+	1759636	1770986	11350
51	+	1750456	1761805	11349
52	+	1759754	1771103	11349
53	+	1759752	1771101	11349
54	+	1759687	1771037	11350
55	-	866265	854917	11348
56	+	1759754	1771103	11349
57	+	1746864	1758214	11350
58	+	1759348	1770698	11350
59	-	1000157	988809	11348
60	+	1759754	1771103	11349
61	+	1759755	1771104	11349
62	+	4745907	4757257	11350
63	+	1759684	1771033	11349
--------------------------------------------------------------------------------
