block,multichromo,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,tree_consistent
202,False,0,0,0,True
203,False,0,0,0,True
219,False,0,0,0,True
220,False,0,0,0,True
221,False,0,0,0,True
222,False,0,0,0,True
223,False,0,0,0,True
224,False,0,0,0,True
225,False,0,0,0,True
229,False,0,0,0,True
232,False,0,0,0,True
233,False,0,0,0,True
234,False,0,0,0,True
235,False,0,0,0,True
236,False,0,0,0,True
237,False,0,0,0,True
238,False,0,0,0,True
239,False,0,0,0,True
240,False,0,0,0,True
241,False,0,0,0,True
242,False,0,0,0,True
247,False,0,0,0,True
