assembly,chromosome,description
GCF_011032785.1_ASM1103278v1,NZ_CP048431.1,Staphylococcus aureus strain SA1428
GCF_003827735.1_ASM382773v1,NZ_CP033505.1,Staphylococcus aureus strain ATCC BAA-39
GCF_002442975.1_ASM244297v1,NZ_CP020741.1,Staphylococcus aureus strain HZW450
GCF_002000565.1_ASM200056v1,NZ_CP014392.1,Staphylococcus aureus strain USA300-SUR9
GCF_001281145.1_ASM128114v1,NZ_CP010890.1,Staphylococcus aureus strain SA564
GCF_001018845.2_ASM101884v2,NZ_CP026067.1,Staphylococcus aureus strain NRS153
GCF_009912155.1_ASM991215v1,NZ_CP047779.1,Staphylococcus aureus strain UP_1559
GCF_003029645.1_ASM302964v1,NZ_CP028163.1,Staphylococcus aureus strain CFSAN064038
GCF_000815125.1_ASM81512v1,NZ_CP010297.1,Staphylococcus aureus strain ATCC BAA1680
GCF_002633865.1_ASM263386v1,NZ_CP017677.1,Staphylococcus aureus strain CFSAN007894
GCF_000418345.1_ASM41834v1,NC_021670.1,Staphylococcus aureus
GCF_000470865.1_ASM47086v1,NC_022443.1,Staphylococcus aureus subsp. aureus SA40
GCF_001019485.2_ASM101948v2,NZ_CP026072.1,Staphylococcus aureus strain NRS120
GCF_001956755.1_ASM195675v1,NZ_CP019117.1,Staphylococcus aureus strain SJTUF_J27
GCF_001183725.1_ASM118372v1,NZ_CP012120.1,Staphylococcus aureus subsp. aureus strain USA300_2014.C02
GCF_002089035.2_ASM208903v2,NZ_CP019591.2,Staphylococcus aureus strain 293G
GCF_004208595.1_ASM420859v1,NZ_CP035791.1,Staphylococcus aureus strain 592
GCF_003609915.1_ASM360991v1,NZ_AP018349.1,"Staphylococcus aureus DNA, strain: GN1"
GCF_003425545.1_ASM342554v1,NZ_CP031667.1,Staphylococcus aureus strain 199
GCF_005705635.1_ASM570563v1,NZ_CP039164.1,Staphylococcus aureus strain R46
GCF_003031485.1_ASM303148v1,NZ_CP021105.1,Staphylococcus aureus strain CC5
GCF_001717685.1_ASM171768v3,NZ_CP016858.1,Staphylococcus aureus subsp. aureus strain 1971.C01
GCF_000815085.1_ASM81508v1,NZ_CP010296.1,Staphylococcus aureus strain ATCC BAA1680
GCF_900475055.1_42197_E02,NZ_LS483350.1,Staphylococcus aureus strain NCTC11940
GCF_009912815.1_ASM991281v1,NZ_CP047798.1,Staphylococcus aureus strain UP_378
GCF_003957315.1_ASM395731v1,NZ_CP034486.1,Staphylococcus aureus strain PMB 64-1
GCF_009912675.1_ASM991267v1,NZ_CP047793.1,Staphylococcus aureus strain UP_764
GCF_003595485.1_ASM359548v1,NZ_CP014384.1,Staphylococcus aureus strain USA300-SUR7
GCF_002088995.1_ASM208899v1,NZ_CP019590.1,Staphylococcus aureus strain C2406
GCF_003432365.1_ASM343236v1,NZ_CP031838.1,Staphylococcus aureus strain QD-CD9
GCF_000568455.1_ASM56845v1,NZ_CP007176.1,Staphylococcus aureus USA300-ISMMS1
GCF_003627835.1_ASM362783v1,NZ_CP032481.1,Staphylococcus aureus strain O326
GCF_003073395.1_ASM307339v1,NZ_CP029031.1,Staphylococcus aureus subsp. aureus strain CIT
GCF_001021875.1_ASM102187v1,NZ_CP007670.1,Staphylococcus aureus strain M121
GCF_005931035.1_ASM593103v1,NZ_CP040230.1,Staphylococcus aureus strain GD1108
GCF_009913075.1_ASM991307v1,NZ_CP047799.1,Staphylococcus aureus strain UP_322
GCF_003111745.1_ASM311174v1,NZ_CP029172.1,Staphylococcus aureus strain PTDrAP2
GCF_009739755.1_ASM973975v1,NZ_CP033999.1,Staphylococcus aureus strain P1D8C2
GCF_001594205.1_ASM159420v1,NZ_CP014791.1,Staphylococcus aureus strain MCRF184
GCF_007954465.1_ASM795446v1,NZ_CP042348.1,Staphylococcus aureus strain BSN9R
GCF_001717975.2_ASM171797v3,NZ_CP017094.1,Staphylococcus aureus subsp. aureus strain 2148.C01
GCF_009913135.1_ASM991313v1,NZ_CP047854.1,Staphylococcus aureus strain UP_1525
GCF_001019415.2_ASM101941v2,NZ_CP026068.1,Staphylococcus aureus strain NRS146
GCF_009912955.1_ASM991295v1,NZ_CP047797.1,Staphylococcus aureus strain UP_426
GCF_000016805.1_ASM1680v1,NC_009487.1,Staphylococcus aureus subsp. aureus JH9
GCF_003425835.1_ASM342583v1,NZ_CP031664.1,Staphylococcus aureus strain 28
GCF_001018805.1_ASM101880v2,NZ_CP026960.1,Staphylococcus aureus strain FDAARGOS_15
GCF_001515705.1_ASM151570v1,NZ_CP012018.1,Staphylococcus aureus subsp. aureus strain Gv88
GCF_003609855.1_ASM360985v1,NZ_AP017922.1,Staphylococcus aureus strain JP02758
GCF_003342775.1_ASM334277v1,NZ_CP031130.1,Staphylococcus aureus strain F17SA003
GCF_009912735.1_ASM991273v1,NZ_CP047839.1,Staphylococcus aureus strain UP_678
GCF_900620215.1_BPH2760,NZ_LR130509.1,Staphylococcus aureus strain BPH2760
GCF_001018735.2_ASM101873v2,NZ_CP026080.1,Staphylococcus aureus strain NRS137
GCF_000237125.1_ASM23712v1,NC_016928.1,Staphylococcus aureus subsp. aureus M013
GCF_010669265.1_ASM1066926v1,NZ_CP048643.1,Staphylococcus aureus strain SR153
GCF_000253135.1_ASM25313v1,NC_017343.1,Staphylococcus aureus subsp. aureus ECT-R 2
GCF_003203615.1_ASM320361v1,NZ_CP029657.1,Staphylococcus aureus strain AR_0468
GCF_003945405.1_ASM394540v1,NZ_AP019305.1,Staphylococcus aureus TUM9458 DNA
GCF_000772025.1_ASM77202v1,NZ_CP009554.1,Staphylococcus aureus subsp. aureus strain FORC_001
GCF_007185035.1_ASM718503v1,NZ_AP019751.1,Staphylococcus aureus JRA307 DNA
GCF_002386245.1_ASM238624v1,NZ_CP023500.1,Staphylococcus aureus strain FDAARGOS_412
GCF_003595445.1_ASM359544v1,NZ_CP014376.1,Staphylococcus aureus strain USA300-SUR5
GCF_001717705.1_ASM171770v2,NZ_CP016861.1,Staphylococcus aureus subsp. aureus strain 1969.N
GCF_002000845.1_ASM200084v1,NZ_CP014441.1,Staphylococcus aureus strain USA300-SUR23
GCF_007813675.1_ASM781367v1,NZ_CP031265.1,Staphylococcus aureus strain 13
GCF_002000625.1_ASM200062v1,NZ_CP014407.1,Staphylococcus aureus strain USA300-SUR12
GCF_001027105.1_ASM102710v1,NZ_CP011526.1,Staphylococcus aureus subsp. aureus DSM 20231
GCF_000189455.2_ASM18945v3,NZ_CP025395.1,Staphylococcus aureus O46
GCF_001717645.1_ASM171764v3,NZ_CP016855.1,Staphylococcus aureus subsp. aureus strain 5118.N
GCF_002803885.1_ASM280388v1,NZ_CP024998.1,Staphylococcus aureus strain 55-99-44
GCF_001515685.1_ASM151568v1,NZ_CP012013.1,Staphylococcus aureus subsp. aureus strain Be62
GCF_001641045.1_ASM164104v1,NZ_CP013959.1,Staphylococcus aureus strain V605
GCF_009176765.1_ASM917676v1,NZ_AP019542.1,Staphylococcus aureus KG-03 DNA
GCF_003595505.1_ASM359550v1,NZ_CP014387.1,Staphylococcus aureus strain USA300-SUR8
GCF_900635905.1_35910_F01,NZ_LR134193.1,Staphylococcus aureus strain NCTC13616 chromosome 1
GCF_000239235.1_ASM23923v1,NC_017351.1,Staphylococcus aureus subsp. aureus 11819-97
GCF_900092595.1_Sa_Newman_UoM,NZ_LT598688.1,Staphylococcus aureus isolate Sa_Newman_UoM
GCF_900474665.1_41236_D02,NZ_LS483310.1,Staphylococcus aureus strain NCTC9752
GCF_000815045.1_ASM81504v1,NZ_CP010295.1,Staphylococcus aureus strain ATCC BAA1680
GCF_003609895.1_ASM360989v1,NZ_AP017891.1,"Staphylococcus aureus DNA, strain: GN3"
GCF_005707335.1_ASM570733v1,NZ_CP039992.1,Staphylococcus aureus strain Lr3
GCF_002000765.1_ASM200076v1,NZ_CP014429.1,Staphylococcus aureus strain USA300-SUR19
GCF_009912995.1_ASM991299v1,NZ_CP047804.1,Staphylococcus aureus strain UP_774
GCF_001027045.1_ASM102704v1,NZ_CP011528.1,Staphylococcus aureus strain RKI4
GCF_009912355.1_ASM991235v1,NZ_CP047826.1,Staphylococcus aureus strain UP_1239
GCF_900004855.1_BB155,NZ_LN854556.1,Staphylococcus aureus strain B155 chromosome 1
GCF_009739795.1_ASM973979v1,NZ_CP034005.1,Staphylococcus aureus strain P1D7C1
GCF_002089075.1_ASM208907v1,NZ_CP019593.1,Staphylococcus aureus strain GD705
GCF_002204555.1_ASM220455v1,NZ_CP017090.1,Staphylococcus aureus strain ISU935
GCF_001611425.1_ASM161142v1,NZ_CP012970.1,Staphylococcus aureus strain ST20130939
GCF_003354885.1_ASM335488v1,NZ_CP022910.1,Staphylococcus aureus strain 164
GCF_003264815.1_ASM326481v1,NZ_CP027788.1,Staphylococcus aureus strain CMRSA-6
GCF_009911835.1_ASM991183v1,NZ_CP047777.1,Staphylococcus aureus strain UP_1632
GCF_900324315.1_12_LA_293,NZ_LT992468.1,Staphylococcus aureus isolate 12_LA_293 chromosome I
GCF_003031285.1_ASM303128v1,NZ_CP023561.1,Staphylococcus aureus strain TF3198
GCF_002089115.2_ASM208911v2,NZ_CP019594.2,Staphylococcus aureus strain GD1539
GCF_009739885.1_ASM973988v1,NZ_CP034259.1,Staphylococcus aureus strain P1D12C1
GCF_000470845.1_ASM47084v1,NC_022442.1,Staphylococcus aureus subsp. aureus SA957
GCF_009912075.1_ASM991207v1,NZ_CP047805.1,Staphylococcus aureus strain UP_1654
GCF_001956815.1_ASM195681v1,NZ_CP009423.1,Staphylococcus aureus subsp. aureus strain USA300_SUR1
GCF_900324245.1_8_LA_272,NZ_LT992461.1,Staphylococcus aureus isolate 8_LA_272 chromosome I
GCF_900324235.1_5_3949,NZ_LT992462.1,Staphylococcus aureus isolate 5_3949 chromosome I
GCF_005707015.1_ASM570701v1,NZ_CP039167.1,Staphylococcus aureus strain R50
GCF_900324045.1_24117-REV,NZ_LT996889.1,"Staphylococcus aureus isolate 24117-REV genome assembly, chromosome: I"
GCF_009176875.1_ASM917687v1,NZ_AP019545.1,Staphylococcus aureus KG-22 DNA
GCF_000382965.1_ASM38296v1,NC_020533.1,Staphylococcus aureus subsp. aureus ST228
GCF_001558795.2_ASM155879v2,NZ_CP014064.2,Staphylococcus aureus strain FDAARGOS_159
GCF_000017085.1_ASM1708v1,NC_010079.1,Staphylococcus aureus subsp. aureus USA300_TCH1516
GCF_003194405.1_ASM319440v1,NZ_CP021171.1,Staphylococcus aureus strain CHU15-056
GCF_008329885.1_ASM832988v1,NZ_CP031890.1,Staphylococcus aureus strain CFSAN082781
GCF_003193785.1_ASM319378v1,NZ_CP029681.1,Staphylococcus aureus strain AR_0473
GCF_006364775.1_ASM636477v1,NZ_CP041010.1,Staphylococcus aureus strain FDAARGOS_766
GCF_900620245.1_BPH2947,NZ_LR130515.1,Staphylococcus aureus strain BPH2947
GCF_009912595.1_ASM991259v1,NZ_CP047788.1,Staphylococcus aureus strain UP_1033
GCF_000210315.1_ASM21031v1,NC_017337.1,Staphylococcus aureus subsp. aureus ED133
GCF_001018645.2_ASM101864v2,NZ_CP026964.1,Staphylococcus aureus strain FDAARGOS_2
GCF_008244705.1_ASM824470v1,NZ_CP043386.1,Staphylococcus aureus strain NRS384
GCF_002633805.1_ASM263380v1,NZ_CP017682.1,Staphylococcus aureus strain CFSAN007850
GCF_006088835.1_ASM608883v1,NZ_CP029198.1,Staphylococcus aureus strain aureus
GCF_001549675.1_ASM154967v1,NZ_AP014653.1,"Staphylococcus aureus subsp. aureus DNA, strain: TMUS2134"
GCF_900324215.1_3_LA_115,NZ_LT992464.1,Staphylococcus aureus isolate 3_LA_115 chromosome I
GCF_900324205.1_1_1439,NZ_LT992456.1,Staphylococcus aureus isolate 1_1439 chromosome I
GCF_009684655.1_ASM968465v1,NZ_CP045472.1,Staphylococcus aureus strain ZY05
GCF_009912415.1_ASM991241v1,NZ_CP047815.1,Staphylococcus aureus strain UP_1484
GCF_001019395.2_ASM101939v2,NZ_CP026066.1,Staphylococcus aureus strain NRS484
GCF_001611365.1_ASM161136v1,NZ_CP012976.1,Staphylococcus aureus strain ST20130942
GCF_005890035.1_ASM589003v1,NZ_CP040623.1,Staphylococcus aureus strain D592-HR
GCF_001046095.2_ASM104609v2,NZ_CP007657.1,Staphylococcus aureus strain V2200
GCF_900324305.1_13_LA_301,NZ_LT992470.1,Staphylococcus aureus isolate 13_LA_301 chromosome I
GCF_003354625.1_ASM335462v1,NZ_CP022900.1,Staphylococcus aureus strain 468
GCF_009913215.1_ASM991321v1,NZ_CP047851.1,Staphylococcus aureus strain UP_338
GCF_001456215.1_ASM145621v1,NZ_CP009828.1,Staphylococcus aureus strain MS4
GCF_004421085.1_ASM442108v1,NZ_CP038021.1,Staphylococcus aureus strain 04-002
GCF_009739845.1_ASM973984v1,NZ_CP034014.1,Staphylococcus aureus strain P1D1C1
GCF_005954685.1_ASM595468v1,NZ_CP040665.1,Staphylococcus aureus strain D592
GCF_900478245.1_35910_A02,NZ_LS483484.1,Staphylococcus aureus strain NCTC13277
GCF_000009665.1_ASM966v1,NC_002758.2,Staphylococcus aureus subsp. aureus Mu50
GCF_003354765.1_ASM335476v1,NZ_CP022894.1,Staphylococcus aureus strain 191
GCF_003354905.1_ASM335490v1,NZ_CP022682.1,Staphylococcus aureus strain 78
GCF_001018685.2_ASM101868v2,NZ_CP026076.1,Staphylococcus aureus strain TCH 959
GCF_001548415.1_ASM154841v1,NZ_AP017320.1,"Staphylococcus aureus DNA, strain: MI"
GCF_002089095.2_ASM208909v2,NZ_CP019595.2,Staphylococcus aureus strain GD1677
GCF_003394105.1_ASM339410v1,NZ_CP031537.1,Staphylococcus aureus strain WCH-SK2
GCF_009912555.1_ASM991255v1,NZ_CP047835.1,Staphylococcus aureus strain UP_883
GCF_003573835.1_ASM357383v1,NZ_AP018923.1,Staphylococcus aureus JMUB3031 DNA
GCF_003193745.1_ASM319374v1,NZ_CP029653.1,Staphylococcus aureus strain AR_0470
GCF_001045995.2_ASM104599v2,NZ_CP007676.1,Staphylococcus aureus strain HUV05
GCF_011035105.1_ASM1103510v1,NZ_CP047021.1,Staphylococcus aureus strain M2024
GCF_000485885.1_ASM48588v1,NC_022604.1,Staphylococcus aureus subsp. aureus Z172
GCF_004771515.1_ASM477151v1,NZ_CP038460.1,Staphylococcus aureus strain B119
GCF_003073415.1_ASM307341v1,NZ_CP029030.1,Staphylococcus aureus subsp. aureus strain CAR
GCF_001640905.1_ASM164090v1,NZ_CP013953.1,Staphylococcus aureus strain NCCP14558
GCF_900635335.1_41556_G01,NZ_LR134093.1,Staphylococcus aureus strain NCTC11965 chromosome 1
GCF_004797195.1_ASM479719v1,NZ_CP038819.1,Staphylococcus aureus strain O82
GCF_900474575.1_40415_F02,NZ_LS483309.1,Staphylococcus aureus strain NCTC9944
GCF_003030225.1_ASM303022v1,NZ_CP028189.1,Staphylococcus aureus strain CFSAN018750
GCF_002097595.1_ASM209759v1,NZ_CP015447.1,Staphylococcus aureus strain M92
GCF_000462955.1_ASM46295v1,NC_022222.1,Staphylococcus aureus subsp. aureus 6850
GCF_003203675.1_ASM320367v1,NZ_CP029673.1,Staphylococcus aureus strain AR_0220
GCF_000237125.2_ASM23712v3,NC_016928.2,Staphylococcus aureus subsp. aureus M013
GCF_001019305.2_ASM101930v2,NZ_CP026079.1,Staphylococcus aureus strain NRS70
GCF_002000645.1_ASM200064v1,NZ_CP014409.1,Staphylococcus aureus strain USA300-SUR13
GCF_005707215.1_ASM570721v1,NZ_CP039162.1,Staphylococcus aureus strain Lr12
GCF_000011265.1_ASM1126v1,NC_003923.1,Staphylococcus aureus subsp. aureus MW2
GCF_001580515.1_ASM158051v1,NZ_CP013231.1,Staphylococcus aureus strain UTSW MRSA 55
GCF_003031425.1_ASM303142v1,NZ_CP020467.1,Staphylococcus aureus strain CFSAN007896
GCF_003351925.1_ASM335192v1,NZ_CP022582.1,Staphylococcus aureus strain FORC_062
GCF_002000825.1_ASM200082v1,NZ_CP014438.1,Staphylococcus aureus strain USA300-SUR22
GCF_000737615.1_ASM73761v1,NZ_CP006630.1,Staphylococcus aureus subsp. aureus SA268
GCF_900324335.1_15_LA_305,NZ_LT992469.1,Staphylococcus aureus isolate 15_LA_305 chromosome I
GCF_001975045.1_ASM197504v1,NZ_CP018768.1,Staphylococcus aureus subsp. aureus strain UCI 28
GCF_000204665.1_ASM20466v1,NC_017347.1,Staphylococcus aureus subsp. aureus T0131
GCF_003595425.1_ASM359542v1,NZ_CP014371.1,Staphylococcus aureus strain USA300-SUR4
GCF_002000705.1_ASM200070v1,NZ_CP014420.1,Staphylococcus aureus strain USA300-SUR16
GCF_002214665.1_ASM221466v1,NZ_CP016398.1,Staphylococcus aureus strain FORC_040
GCF_001641025.1_ASM164102v1,NZ_CP013957.1,Staphylococcus aureus strain V521
GCF_009912795.1_ASM991279v1,NZ_CP047801.1,Staphylococcus aureus strain UP_248
GCF_001183705.2_ASM118370v2,NZ_CP012119.1,Staphylococcus aureus subsp. aureus strain USA300_2014.C01
GCF_000024585.1_ASM2458v1,NC_013450.1,Staphylococcus aureus subsp. aureus ED98
GCF_009913195.1_ASM991319v1,NZ_CP047802.1,Staphylococcus aureus strain UP_1442
GCF_900635305.1_40961_G01,NZ_LR134091.1,Staphylococcus aureus strain NCTC4137 chromosome 1
GCF_900620255.1_BPH2986,NZ_LR130518.1,Staphylococcus aureus strain BPH2986
GCF_009912335.1_ASM991233v1,NZ_CP047783.1,Staphylococcus aureus strain UP_1313
GCF_003952625.1_ASM395262v1,NZ_CP034441.1,Staphylococcus aureus strain PMB 81-4
GCF_009912615.1_ASM991261v1,NZ_CP047790.1,Staphylococcus aureus strain UP_830
GCF_000756205.1_ASM75620v1,NZ_CP009361.1,Staphylococcus aureus subsp. aureus strain ATCC 25923
GCF_000017125.1_ASM1712v1,NC_009632.1,Staphylococcus aureus subsp. aureus JH1
GCF_002310395.1_ASM231039v1,NZ_CP023391.1,Staphylococcus aureus subsp. aureus strain Newman_D2C
GCF_003425915.1_ASM342591v1,NZ_CP031670.1,Staphylococcus aureus strain 64
GCF_009912875.1_ASM991287v1,NZ_CP047845.1,Staphylococcus aureus strain UP_591
GCF_002000685.1_ASM200068v1,NZ_CP014415.1,Staphylococcus aureus strain USA300-SUR15
GCF_003073755.1_ASM307375v1,NZ_CP029084.1,Staphylococcus aureus strain AR464
GCF_900635315.1_41255_H01,NZ_LR134090.1,Staphylococcus aureus strain NCTC9555 chromosome 1
GCF_005931055.1_ASM593105v1,NZ_CP040233.1,Staphylococcus aureus strain GD1696
GCF_009913015.1_ASM991301v1,NZ_CP047865.1,Staphylococcus aureus strain UP_844
GCF_003944865.1_ASM394486v1,NZ_CP034349.1,Staphylococcus aureus subsp. aureus strain 80wphwpl
GCF_003111725.1_ASM311172v1,NZ_CP029166.1,Staphylococcus aureus strain SVH7513
GCF_900324355.1_10_5235,NZ_LT992472.1,Staphylococcus aureus isolate 10_5235 chromosome I
GCF_900324385.1_20_LA_415,NZ_LT992475.1,Staphylococcus aureus isolate 20_LA_415 chromosome I
GCF_001019535.2_ASM101953v2,NZ_CP026073.1,Staphylococcus aureus strain Mw2
GCF_000709475.1_ASM70947v1,NZ_CP007447.1,Staphylococcus aureus strain XN108
GCF_000011505.1_ASM1150v1,NC_002952.2,Staphylococcus aureus subsp. aureus MRSA252
GCF_009739675.1_ASM973967v1,NZ_CP033982.1,Staphylococcus aureus strain P2D8C1
GCF_001735655.2_ASM173565v2,NZ_CP025495.1,Staphylococcus aureus subsp. aureus strain 3020.C01
GCF_900323955.1_1549-REV,NZ_LT992436.1,"Staphylococcus aureus isolate 1549-REV genome assembly, chromosome: I"
GCF_003354565.1_ASM335456v1,NZ_CP022903.1,Staphylococcus aureus strain 187
GCF_001465635.1_ASM146563v1,NZ_CP013616.1,Staphylococcus aureus strain RIVM1295
GCF_009913155.1_ASM991315v1,NZ_CP047861.1,Staphylococcus aureus strain UP_1322
GCF_900324345.1_17_LA_343,NZ_LT992471.1,Staphylococcus aureus isolate 17_LA_343 chromosome I
GCF_000746505.1_ASM74650v1,NZ_CP007499.1,Staphylococcus aureus strain 2395 USA500
GCF_004026185.1_ASM402618v1,NZ_CP035003.1,Staphylococcus aureus strain PCFA-221
GCF_900607305.1_BPH2056,NZ_LR027874.1,Staphylococcus aureus strain BPH2056
GCF_001640885.1_ASM164088v1,NZ_CP011685.1,Staphylococcus aureus strain ZJ5499
GCF_002952015.1_ASM295201v1,NZ_CP020656.1,Staphylococcus aureus strain K5
GCF_009739735.1_ASM973973v1,NZ_CP033996.1,Staphylococcus aureus strain P1D9C1
GCF_900620225.1_BPH2819,NZ_LR130511.1,Staphylococcus aureus strain BPH2819
GCF_004771975.1_ASM477197v1,NZ_CP038270.1,Staphylococcus aureus strain O408 isolate B115
GCF_009912755.1_ASM991275v1,NZ_CP047847.1,Staphylococcus aureus strain UP_522
GCF_003490125.1_ASM349012v1,NZ_CP032051.1,Staphylococcus aureus strain O17
GCF_002202075.1_ASM220207v1,NZ_CP021905.1,Staphylococcus aureus strain Seattle 1945 isolate G477
GCF_001880265.1_ASM188026v1,NZ_CP013182.1,Staphylococcus aureus strain SA40TW
GCF_001515765.1_ASM151576v1,NZ_CP012012.1,Staphylococcus aureus subsp. aureus strain HC1335
GCF_900474695.1_41004_B01,NZ_LS483317.1,Staphylococcus aureus strain NCTC5663
GCF_009912935.1_ASM991293v1,NZ_CP047794.1,Staphylococcus aureus strain UP_551
GCF_001580495.1_ASM158049v1,NZ_CP010998.1,Staphylococcus aureus strain FORC_012 isolate human sputum
GCF_000383005.1_ASM38300v1,NC_020568.1,Staphylococcus aureus subsp. aureus ST228
GCF_003354785.1_ASM335478v1,NZ_CP022895.1,Staphylococcus aureus strain 85
GCF_900635505.1_3012STDY6191362,NZ_LR134139.1,Staphylococcus aureus strain NCTC4163 chromosome 1
GCF_009731595.1_ASM973159v1,NZ_AP019712.1,Staphylococcus aureus Tokyo12480 DNA
GCF_009912115.1_ASM991211v1,NZ_CP047792.1,Staphylococcus aureus strain UP_794
GCF_008462245.1_ASM846224v1,NZ_CP040232.1,Staphylococcus aureus strain GD1706
GCF_008244725.1_ASM824472v1,NZ_CP043392.1,Staphylococcus aureus strain NRS384-rpoB-H481N-NCV
GCF_900324255.1_2_LA_86,NZ_LT992463.1,Staphylococcus aureus isolate 2_LA_86 chromosome I
GCF_002089075.2_ASM208907v2,NZ_CP019593.2,Staphylococcus aureus strain GD705
GCF_001549655.1_ASM154965v1,NZ_AP014652.1,"Staphylococcus aureus subsp. aureus DNA, strain: TMUS2126"
GCF_000009645.1_ASM964v1,NC_002745.2,Staphylococcus aureus subsp. aureus N315
GCF_002633825.1_ASM263382v1,NZ_CP017680.1,Staphylococcus aureus strain CFSAN007851
