assembly_accession,bioproject,biosample,wgs_master,excluded_from_refseq,refseq_category,relation_to_type_material,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name_x,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,local_filename,strain,orig_name,to_annotate,gsize,nb_conts,L90,file,asm_name_y,name_no_strain,label
GCF_001457615.1,PRJNA224116,SAMEA2479570,,,na,assembly from type material,287,287,Pseudomonas aeruginosa,strain=NCTC10332,,latest,Complete Genome,Major,Full,2015/03/22,NCTC10332,SC,GCA_001457615.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/457/615/GCF_001457615.1_NCTC10332,./Pseudomonas_aeruginosa/1-prepare_module/refseq/bacteria/GCF_001457615.1/GCF_001457615.1_NCTC10332_genomic.fna.gz,PSAE.0521.00019,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001457615.1_NCTC10332_genomic.fna_prepare-split125N.fna,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001457615.1_NCTC10332_genomic.fna_prepare-split125N.fna,6316979,1,1,GCF_001457615.1_NCTC10332_genomic.fna_prepare-split125N.fna,NCTC10332,NCTC10332,Pseudomonas aeruginosa NCTC10332
GCF_001482325.1,PRJNA224116,SAMN04351367,,,na,,287,287,Pseudomonas aeruginosa,strain=12-4-4(59),,latest,Complete Genome,Major,Full,2015/12/24,ASM148232v1,The Forsyth Institute,GCA_001482325.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/482/325/GCF_001482325.1_ASM148232v1,./Pseudomonas_aeruginosa/1-prepare_module/refseq/bacteria/GCF_001482325.1/GCF_001482325.1_ASM148232v1_genomic.fna.gz,PSAE.0521.00021,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001482325.1_ASM148232v1_genomic.fna_prepare-split125N.fna,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001482325.1_ASM148232v1_genomic.fna_prepare-split125N.fna,6431911,1,1,GCF_001482325.1_ASM148232v1_genomic.fna_prepare-split125N.fna,ASM148232v1,12-4-4(59),Pseudomonas aeruginosa 12-4-4(59)
GCF_001515845.2,PRJNA224116,SAMN02894350,,,na,,287,287,Pseudomonas aeruginosa,strain=S86968,,latest,Complete Genome,Minor,Full,2017/04/12,ASM151584v2,MSKCC,GCA_001515845.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/515/845/GCF_001515845.2_ASM151584v2,./Pseudomonas_aeruginosa/1-prepare_module/refseq/bacteria/GCF_001515845.2/GCF_001515845.2_ASM151584v2_genomic.fna.gz,PSAE.0521.00007,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001515845.2_ASM151584v2_genomic.fna_prepare-split125N.fna,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001515845.2_ASM151584v2_genomic.fna_prepare-split125N.fna,6934277,1,1,GCF_001515845.2_ASM151584v2_genomic.fna_prepare-split125N.fna,ASM151584v2,S86968,Pseudomonas aeruginosa S86968
GCF_001515915.2,PRJNA224116,SAMN02894349,,,na,,287,287,Pseudomonas aeruginosa,strain=T38079,,latest,Complete Genome,Minor,Full,2017/04/12,ASM151591v2,MSKCC,GCA_001515915.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/515/915/GCF_001515915.2_ASM151591v2,./Pseudomonas_aeruginosa/1-prepare_module/refseq/bacteria/GCF_001515915.2/GCF_001515915.2_ASM151591v2_genomic.fna.gz,PSAE.0521.00023,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001515915.2_ASM151591v2_genomic.fna_prepare-split125N.fna,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001515915.2_ASM151591v2_genomic.fna_prepare-split125N.fna,6795741,1,1,GCF_001515915.2_ASM151591v2_genomic.fna_prepare-split125N.fna,ASM151591v2,T38079,Pseudomonas aeruginosa T38079
GCF_001516005.1,PRJNA224116,SAMN02894348,,,na,,287,287,Pseudomonas aeruginosa,strain=T52373,,latest,Complete Genome,Major,Full,2016/01/15,ASM151600v1,MSKCC,GCA_001516005.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/005/GCF_001516005.1_ASM151600v1,./Pseudomonas_aeruginosa/1-prepare_module/refseq/bacteria/GCF_001516005.1/GCF_001516005.1_ASM151600v1_genomic.fna.gz,PSAE.0521.00025,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001516005.1_ASM151600v1_genomic.fna_prepare-split125N.fna,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001516005.1_ASM151600v1_genomic.fna_prepare-split125N.fna,6322459,1,1,GCF_001516005.1_ASM151600v1_genomic.fna_prepare-split125N.fna,ASM151600v1,T52373,Pseudomonas aeruginosa T52373
GCF_001516105.1,PRJNA224116,SAMN02894347,,,na,,287,287,Pseudomonas aeruginosa,strain=T63266,,latest,Complete Genome,Major,Full,2016/01/15,ASM151610v1,MSKCC,GCA_001516105.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/105/GCF_001516105.1_ASM151610v1,./Pseudomonas_aeruginosa/1-prepare_module/refseq/bacteria/GCF_001516105.1/GCF_001516105.1_ASM151610v1_genomic.fna.gz,PSAE.0521.00027,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001516105.1_ASM151610v1_genomic.fna_prepare-split125N.fna,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001516105.1_ASM151610v1_genomic.fna_prepare-split125N.fna,6456866,1,1,GCF_001516105.1_ASM151610v1_genomic.fna_prepare-split125N.fna,ASM151610v1,T63266,Pseudomonas aeruginosa T63266
GCF_001516165.2,PRJNA224116,SAMN02894346,,,na,,287,287,Pseudomonas aeruginosa,strain=W16407,,latest,Complete Genome,Minor,Full,2017/04/12,ASM151616v2,MSKCC,GCA_001516165.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/165/GCF_001516165.2_ASM151616v2,./Pseudomonas_aeruginosa/1-prepare_module/refseq/bacteria/GCF_001516165.2/GCF_001516165.2_ASM151616v2_genomic.fna.gz,PSAE.0521.00030,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001516165.2_ASM151616v2_genomic.fna_prepare-split125N.fna,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001516165.2_ASM151616v2_genomic.fna_prepare-split125N.fna,6808844,1,1,GCF_001516165.2_ASM151616v2_genomic.fna_prepare-split125N.fna,ASM151616v2,W16407,Pseudomonas aeruginosa W16407
GCF_001516185.2,PRJNA224116,SAMN02894345,,,na,,287,287,Pseudomonas aeruginosa,strain=W36662,,latest,Complete Genome,Minor,Full,2017/04/12,ASM151618v2,MSKCC,GCA_001516185.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/185/GCF_001516185.2_ASM151618v2,./Pseudomonas_aeruginosa/1-prepare_module/refseq/bacteria/GCF_001516185.2/GCF_001516185.2_ASM151618v2_genomic.fna.gz,PSAE.0521.00032,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001516185.2_ASM151618v2_genomic.fna_prepare-split125N.fna,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001516185.2_ASM151618v2_genomic.fna_prepare-split125N.fna,6791731,1,1,GCF_001516185.2_ASM151618v2_genomic.fna_prepare-split125N.fna,ASM151618v2,W36662,Pseudomonas aeruginosa W36662
GCF_001516205.2,PRJNA224116,SAMN02894344,,,na,,287,287,Pseudomonas aeruginosa,strain=W45909,,latest,Complete Genome,Minor,Full,2017/04/12,ASM151620v2,MSKCC,GCA_001516205.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/205/GCF_001516205.2_ASM151620v2,./Pseudomonas_aeruginosa/1-prepare_module/refseq/bacteria/GCF_001516205.2/GCF_001516205.2_ASM151620v2_genomic.fna.gz,PSAE.0521.00029,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001516205.2_ASM151620v2_genomic.fna_prepare-split125N.fna,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001516205.2_ASM151620v2_genomic.fna_prepare-split125N.fna,6777566,1,1,GCF_001516205.2_ASM151620v2_genomic.fna_prepare-split125N.fna,ASM151620v2,W45909,Pseudomonas aeruginosa W45909
GCF_001516225.2,PRJNA224116,SAMN02894343,,,na,,287,287,Pseudomonas aeruginosa,strain=W60856,,latest,Complete Genome,Minor,Full,2017/04/12,ASM151622v2,MSKCC,GCA_001516225.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/225/GCF_001516225.2_ASM151622v2,./Pseudomonas_aeruginosa/1-prepare_module/refseq/bacteria/GCF_001516225.2/GCF_001516225.2_ASM151622v2_genomic.fna.gz,PSAE.0521.00034,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001516225.2_ASM151622v2_genomic.fna_prepare-split125N.fna,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001516225.2_ASM151622v2_genomic.fna_prepare-split125N.fna,6896700,1,1,GCF_001516225.2_ASM151622v2_genomic.fna_prepare-split125N.fna,ASM151622v2,W60856,Pseudomonas aeruginosa W60856
GCF_001516245.2,PRJNA224116,SAMN02894358,,,na,,287,287,Pseudomonas aeruginosa,strain=F23197,,latest,Complete Genome,Major,Full,2017/04/12,ASM151624v2,MSKCC,GCA_001516245.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/245/GCF_001516245.2_ASM151624v2,./Pseudomonas_aeruginosa/1-prepare_module/refseq/bacteria/GCF_001516245.2/GCF_001516245.2_ASM151624v2_genomic.fna.gz,PSAE.0521.00036,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001516245.2_ASM151624v2_genomic.fna_prepare-split125N.fna,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001516245.2_ASM151624v2_genomic.fna_prepare-split125N.fna,6517340,1,1,GCF_001516245.2_ASM151624v2_genomic.fna_prepare-split125N.fna,ASM151624v2,F23197,Pseudomonas aeruginosa F23197
GCF_001516265.1,PRJNA224116,SAMN02894357,,,na,,287,287,Pseudomonas aeruginosa,strain=F30658,,latest,Complete Genome,Major,Full,2016/01/15,ASM151626v1,MSKCC,GCA_001516265.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/265/GCF_001516265.1_ASM151626v1,./Pseudomonas_aeruginosa/1-prepare_module/refseq/bacteria/GCF_001516265.1/GCF_001516265.1_ASM151626v1_genomic.fna.gz,PSAE.0521.00037,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001516265.1_ASM151626v1_genomic.fna_prepare-split125N.fna,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001516265.1_ASM151626v1_genomic.fna_prepare-split125N.fna,7273258,1,1,GCF_001516265.1_ASM151626v1_genomic.fna_prepare-split125N.fna,ASM151626v1,F30658,Pseudomonas aeruginosa F30658
GCF_001516305.2,PRJNA224116,SAMN02894355,,,na,,287,287,Pseudomonas aeruginosa,strain=H5708,,latest,Complete Genome,Major,Full,2017/04/12,ASM151630v2,MSKCC,GCA_001516305.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/305/GCF_001516305.2_ASM151630v2,./Pseudomonas_aeruginosa/1-prepare_module/refseq/bacteria/GCF_001516305.2/GCF_001516305.2_ASM151630v2_genomic.fna.gz,PSAE.0521.00039,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001516305.2_ASM151630v2_genomic.fna_prepare-split125N.fna,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001516305.2_ASM151630v2_genomic.fna_prepare-split125N.fna,6334378,1,1,GCF_001516305.2_ASM151630v2_genomic.fna_prepare-split125N.fna,ASM151630v2,H5708,Pseudomonas aeruginosa H5708
GCF_001516325.2,PRJNA224116,SAMN02894354,,,na,,287,287,Pseudomonas aeruginosa,strain=H27930,,latest,Complete Genome,Minor,Full,2017/04/12,ASM151632v2,MSKCC,GCA_001516325.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/325/GCF_001516325.2_ASM151632v2,./Pseudomonas_aeruginosa/1-prepare_module/refseq/bacteria/GCF_001516325.2/GCF_001516325.2_ASM151632v2_genomic.fna.gz,PSAE.0521.00041,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001516325.2_ASM151632v2_genomic.fna_prepare-split125N.fna,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001516325.2_ASM151632v2_genomic.fna_prepare-split125N.fna,6568228,1,1,GCF_001516325.2_ASM151632v2_genomic.fna_prepare-split125N.fna,ASM151632v2,H27930,Pseudomonas aeruginosa H27930
GCF_001516345.1,PRJNA224116,SAMN02894353,,,na,,287,287,Pseudomonas aeruginosa,strain=H47921,,latest,Complete Genome,Major,Full,2016/01/15,ASM151634v1,MSKCC,GCA_001516345.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/345/GCF_001516345.1_ASM151634v1,./Pseudomonas_aeruginosa/1-prepare_module/refseq/bacteria/GCF_001516345.1/GCF_001516345.1_ASM151634v1_genomic.fna.gz,PSAE.0521.00043,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001516345.1_ASM151634v1_genomic.fna_prepare-split125N.fna,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001516345.1_ASM151634v1_genomic.fna_prepare-split125N.fna,6836415,1,1,GCF_001516345.1_ASM151634v1_genomic.fna_prepare-split125N.fna,ASM151634v1,H47921,Pseudomonas aeruginosa H47921
GCF_001516365.2,PRJNA224116,SAMN02894352,,,na,,287,287,Pseudomonas aeruginosa,strain=M1608,,latest,Complete Genome,Minor,Full,2017/04/12,ASM151636v2,MSKCC,GCA_001516365.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/365/GCF_001516365.2_ASM151636v2,./Pseudomonas_aeruginosa/1-prepare_module/refseq/bacteria/GCF_001516365.2/GCF_001516365.2_ASM151636v2_genomic.fna.gz,PSAE.0521.00044,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001516365.2_ASM151636v2_genomic.fna_prepare-split125N.fna,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001516365.2_ASM151636v2_genomic.fna_prepare-split125N.fna,6460023,1,1,GCF_001516365.2_ASM151636v2_genomic.fna_prepare-split125N.fna,ASM151636v2,M1608,Pseudomonas aeruginosa M1608
GCF_001516385.1,PRJNA224116,SAMN02894351,,,na,,287,287,Pseudomonas aeruginosa,strain=M37351,,latest,Complete Genome,Major,Full,2016/01/15,ASM151638v1,MSKCC,GCA_001516385.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/516/385/GCF_001516385.1_ASM151638v1,./Pseudomonas_aeruginosa/1-prepare_module/refseq/bacteria/GCF_001516385.1/GCF_001516385.1_ASM151638v1_genomic.fna.gz,PSAE.0521.00046,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001516385.1_ASM151638v1_genomic.fna_prepare-split125N.fna,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001516385.1_ASM151638v1_genomic.fna_prepare-split125N.fna,6897231,1,1,GCF_001516385.1_ASM151638v1_genomic.fna_prepare-split125N.fna,ASM151638v1,M37351,Pseudomonas aeruginosa M37351
GCF_001518975.1,PRJNA224116,SAMN04158502,,,na,,287,287,Pseudomonas aeruginosa,strain=USDA-ARS-USMARC-41639,,latest,Complete Genome,Major,Full,2016/01/20,ASM151897v1,USDA-ARS-USMARC,GCA_001518975.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/518/975/GCF_001518975.1_ASM151897v1,./Pseudomonas_aeruginosa/1-prepare_module/refseq/bacteria/GCF_001518975.1/GCF_001518975.1_ASM151897v1_genomic.fna.gz,PSAE.0521.00048,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001518975.1_ASM151897v1_genomic.fna_prepare-split125N.fna,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001518975.1_ASM151897v1_genomic.fna_prepare-split125N.fna,6364583,1,1,GCF_001518975.1_ASM151897v1_genomic.fna_prepare-split125N.fna,ASM151897v1,USDA-ARS-USMARC-41639,Pseudomonas aeruginosa USDA-ARS-USMARC-41639
GCF_001542795.2,PRJNA224116,SAMN02894342,,,na,,287,287,Pseudomonas aeruginosa,strain=X78812,,latest,Complete Genome,Minor,Full,2017/04/12,ASM154279v2,MSKCC,GCA_001542795.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/542/795/GCF_001542795.2_ASM154279v2,./Pseudomonas_aeruginosa/1-prepare_module/refseq/bacteria/GCF_001542795.2/GCF_001542795.2_ASM154279v2_genomic.fna.gz,PSAE.0521.00049,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001542795.2_ASM154279v2_genomic.fna_prepare-split125N.fna,Pseudomonas_aeruginosa/1-prepare_module/tmp_files/GCF_001542795.2_ASM154279v2_genomic.fna_prepare-split125N.fna,6348761,1,1,GCF_001542795.2_ASM154279v2_genomic.fna_prepare-split125N.fna,ASM154279v2,X78812,Pseudomonas aeruginosa X78812
