AssemblyID,AssemblyName,Organism,Type,GenBankID,RefSeqID,length(bp),CDSs,MobElemCount,ISTransposaseCount(GB),ISTransposaseCount(RF),ISTransposaseCount(ISsaga),Cluster,Info
GCA_002788115.1,ASM278811v1,Escherichia coli AR_0015,Plasmid,CP024865.1,NZ_CP024865.1,48511,72,0,0,0,,1 (D),
GCA_003571785.1,ASM357178v1,Escherichia coli AR_0067,Chromosome,CP032261.1,na,5119553,5171,0,69,-,95/113,1 (D),
GCA_003571785.1,ASM357178v1,Escherichia coli AR_0067,Plasmid,CP032259.1,na,49921,71,0,1,-,,1 (D),
GCA_003571785.1,ASM357178v1,Escherichia coli AR_0067,Plasmid,CP032258.1,na,128033,175,0,18,-,,1 (D),
GCA_003571785.1,ASM357178v1,Escherichia coli AR_0067,Plasmid,CP032260.1,na,87423,115,0,0,-,,1 (D),
GCA_003571785.1,ASM357178v1,Escherichia coli AR_0067,Plasmid,CP032262.1,na,75026,103,0,2,-,,1 (D),
GCA_002968735.1,ASM296873v1,Escherichia coli AR_0372,Chromosome,CP027134.1,NZ_CP027134.1,5211570,5001,0,30,81,108/121,1 (D),
GCA_002968735.1,ASM296873v1,Escherichia coli AR_0372,Plasmid,CP027130.1,NZ_CP027130.1,170292,199,0,10,28,,1 (D),
GCA_002968735.1,ASM296873v1,Escherichia coli AR_0372,Plasmid,CP027132.1,NZ_CP027132.1,2101,2,0,0,0,,1 (D),
GCA_002968735.1,ASM296873v1,Escherichia coli AR_0372,Plasmid,CP027131.1,NZ_CP027131.1,1552,1,0,0,0,,1 (D),
GCA_002968735.1,ASM296873v1,Escherichia coli AR_0372,Plasmid,CP027133.1,NZ_CP027133.1,97167,96,0,2,1,,1 (D),
GCA_002968735.1,ASM296873v1,Escherichia coli AR_0372,Plasmid,CP027129.1,NZ_CP027129.1,5193,9,0,0,0,,1 (D),
GCA_001900295.1,ASM190029v1,Escherichia coli C1,Chromosome,CP010116.1,NZ_CP010116.1,4843023,4546,0,3,43,62/72,1 (D),
GCA_001900315.1,ASM190031v1,Escherichia coli C4,Chromosome,CP010121.1,NZ_CP010121.1,4990476,4681,0,0,16,42/56,1 (D),
GCA_003030245.1,ASM303024v1,Escherichia coli CFSAN018748,Chromosome,CP028192.1,na,5071057,5107,0,74,-,106/116,1 (D),
GCA_003030245.1,ASM303024v1,Escherichia coli CFSAN018748,Plasmid,CP028195.1,na,68950,97,0,16,-,,1 (D),
GCA_003030245.1,ASM303024v1,Escherichia coli CFSAN018748,Plasmid,CP028193.1,na,52918,69,0,1,-,,1 (D),
GCA_003030245.1,ASM303024v1,Escherichia coli CFSAN018748,Plasmid,CP028194.1,na,48684,73,0,0,-,,1 (D),
GCA_002278115.2,ASM227811v2,Escherichia coli CFSAN061770,Chromosome,CP023142.1,NZ_CP023142.1,5292297,5391,0,74,73,96/108,1 (D),
GCA_002278115.2,ASM227811v2,Escherichia coli CFSAN061770,Plasmid,CP023143.1,NZ_CP023143.1,228947,261,0,10,10,,1 (D),
GCA_002278115.2,ASM227811v2,Escherichia coli CFSAN061770,Plasmid,CP023144.1,NZ_CP023144.1,103234,139,0,9,9,,1 (D),
GCA_002278115.2,ASM227811v2,Escherichia coli CFSAN061770,Plasmid,CP023145.1,NZ_CP023145.1,87173,113,0,14,14,,1 (D),
GCA_003180995.1,ASM318099v1,Escherichia coli DA33137,Chromosome,CP029579.1,na,5261695,5315,0,88,-,122/138,1 (D),
GCA_003180995.1,ASM318099v1,Escherichia coli DA33137,Plasmid,CP029580.1,na,178078,250,0,36,-,,1 (D),
GCA_003180995.1,ASM318099v1,Escherichia coli DA33137,Plasmid,CP029581.1,na,2101,3,0,0,-,,1 (D),
GCA_002011985.1,ASM201198v1,Escherichia coli Ecol_316,Chromosome,CP018957.1,NZ_CP018957.1,5056072,5113,0,16,46,72/87,1 (D),
GCA_002011985.1,ASM201198v1,Escherichia coli Ecol_316,Plasmid,CP018955.1,NZ_CP018955.1,101186,131,0,7,12,,1 (D),
GCA_002011985.1,ASM201198v1,Escherichia coli Ecol_316,Plasmid,CP018954.1,NZ_CP018954.1,97654,140,0,10,18,,1 (D),
GCA_002011985.1,ASM201198v1,Escherichia coli Ecol_316,Plasmid,CP018956.1,NZ_CP018956.1,216226,277,0,8,14,,1 (D),
GCA_002012045.1,ASM201204v1,Escherichia coli Ecol_545,Chromosome,CP018976.1,NZ_CP018976.1,5031843,5110,0,29,50,73/83,1 (D),
GCA_002012045.1,ASM201204v1,Escherichia coli Ecol_545,Plasmid,CP018974.1,NZ_CP018974.1,70876,93,0,5,6,,1 (D),
GCA_002012045.1,ASM201204v1,Escherichia coli Ecol_545,Plasmid,CP018971.1,NZ_CP018971.1,3164,3,0,0,0,,1 (D),
GCA_002012045.1,ASM201204v1,Escherichia coli Ecol_545,Plasmid,CP018975.1,NZ_CP018975.1,95926,124,0,2,2,,1 (D),
GCA_002012045.1,ASM201204v1,Escherichia coli Ecol_545,Plasmid,CP018973.1,NZ_CP018973.1,70152,106,0,1,2,,1 (D),
GCA_002012045.1,ASM201204v1,Escherichia coli Ecol_545,Plasmid,CP018972.1,NZ_CP018972.1,4073,4,0,0,0,,1 (D),
GCA_002591135.1,ASM259113v1,Escherichia coli FDAARGOS_448,Chromosome,CP023960.1,NZ_CP023960.1,5169451,5192,0,88,91,124/139,1 (D),
GCA_002591135.1,ASM259113v1,Escherichia coli FDAARGOS_448,Plasmid,CP023959.1,NZ_CP023959.1,128761,172,0,16,16,,1 (D),
GCA_002591135.1,ASM259113v1,Escherichia coli FDAARGOS_448,Plasmid,CP023961.1,NZ_CP023961.1,96807,120,0,0,0,,1 (D),
GCA_002591135.1,ASM259113v1,Escherichia coli FDAARGOS_448,Plasmid,CP023957.1,NZ_CP023957.1,48550,72,0,3,3,,1 (D),
GCA_002591135.1,ASM259113v1,Escherichia coli FDAARGOS_448,Plasmid,CP023958.1,NZ_CP023958.1,3264,5,0,0,0,,1 (D),
GCA_001890365.1,ASM189036v1,Escherichia coli MRSN346647,Chromosome,CP018206.1,NZ_CP018206.1,5041399,5066,0,32,60,76/85,1 (D),
GCA_001890365.1,ASM189036v1,Escherichia coli MRSN346647,Plasmid,CP018207.1,NZ_CP018207.1,113140,142,0,10,19,,1 (D),
GCA_001890365.1,ASM189036v1,Escherichia coli MRSN346647,Plasmid,CP018208.1,NZ_CP018208.1,4074,4,0,0,0,,1 (D),
GCA_000219515.3,ASM21951v3,Escherichia coli PCN033,Chromosome,CP006632.1,NZ_CP006632.1,4987957,4821,0,33,40,68/80,1 (D),ExPEC
GCA_000219515.3,ASM21951v3,Escherichia coli PCN033,Plasmid,CP006635.1,NZ_CP006635.1,161511,241,0,14,23,,1 (D),ExPEC
GCA_000219515.3,ASM21951v3,Escherichia coli PCN033,Plasmid,CP006634.1,NZ_CP006634.1,4086,5,0,0,0,,1 (D),ExPEC
GCA_000219515.3,ASM21951v3,Escherichia coli PCN033,Plasmid,CP006633.1,NZ_CP006633.1,3319,5,0,0,0,,1 (D),ExPEC
GCA_003410275.1,ASM341027v1,Escherichia coli S10,Chromosome,CP031609.1,na,4821441,4665,0,30,-,45/55,1 (D),
GCA_003410275.1,ASM341027v1,Escherichia coli S10,Plasmid,CP031610.1,na,160292,210,0,8,-,,1 (D),
GCA_000599665.1,ASM59966v1,Escherichia coli ST2747,Chromosome,CP007392.1,NZ_CP007392.1,5054509,4631,0,0,41,63/77,1 (D),
GCA_002164645.2,ASM216464v2,Escherichia coli WCHEC4533,Chromosome,CP028589.1,na,5099973,5149,0,91,-,119/130,1 (D),
GCA_002164645.2,ASM216464v2,Escherichia coli WCHEC4533,Plasmid,CP028585.1,na,92537,122,0,0,-,,1 (D),
GCA_002164645.2,ASM216464v2,Escherichia coli WCHEC4533,Plasmid,CP028586.1,na,5167,6,0,0,-,,1 (D),
GCA_002164645.2,ASM216464v2,Escherichia coli WCHEC4533,Plasmid,CP028587.1,na,150853,200,0,26,-,,1 (D),
GCA_002164645.2,ASM216464v2,Escherichia coli WCHEC4533,Plasmid,CP028588.1,na,42856,52,0,13,-,,1 (D),
GCA_002164635.3,ASM216463v3,Escherichia coli WCHEC96200,Chromosome,CP022229.2,na,5051244,5120,0,85,-,112/123,1 (D),
GCA_002164635.3,ASM216463v3,Escherichia coli WCHEC96200,Plasmid,CP022228.2,na,92388,122,0,0,-,,1 (D),
GCA_002164635.3,ASM216463v3,Escherichia coli WCHEC96200,Plasmid,CP022226.2,na,45476,52,0,13,-,,1 (D),
GCA_002164635.3,ASM216463v3,Escherichia coli WCHEC96200,Plasmid,CP022227.2,na,150853,202,0,26,-,,1 (D),
GCA_002925525.1,YDC107,Escherichia coli YDC107,Chromosome,CP025707.1,na,5198311,4806,0,27,-,129/144,1 (D),
GCA_002925525.1,YDC107,Escherichia coli YDC107,Plasmid,CP025708.1,na,184098,208,0,7,-,,1 (D),
GCA_002925525.1,YDC107,Escherichia coli YDC107,Plasmid,CP025711.1,na,41544,47,0,0,-,,1 (D),
GCA_002925525.1,YDC107,Escherichia coli YDC107,Plasmid,CP025710.1,na,70372,84,0,1,-,,1 (D),
GCA_002925525.1,YDC107,Escherichia coli YDC107,Plasmid,CP025709.1,na,85535,92,0,0,-,,1 (D),
GCA_002925525.1,YDC107,Escherichia coli YDC107,Virus Segment,CP025712.1,na,46701,67,0,0,-,,1 (D),
GCA_002925525.1,YDC107,Escherichia coli YDC107,Virus Segment,CP025713.1,na,18617,44,0,0,-,,1 (D),
GCA_002142675.1,ASM214267v1,Escherichia coli Z1002,Chromosome,CP021202.1,NZ_CP021202.1,5177498,5202,0,66,80,113/125,1 (D),
GCA_002142675.1,ASM214267v1,Escherichia coli Z1002,Plasmid,CP021203.1,NZ_CP021203.1,183508,234,0,10,10,,1 (D),
GCA_002142675.1,ASM214267v1,Escherichia coli Z1002,Plasmid,CP021204.1,NZ_CP021204.1,92438,128,0,7,8,,1 (D),
GCA_002142675.1,ASM214267v1,Escherichia coli Z1002,Plasmid,CP021205.1,NZ_CP021205.1,63392,87,0,1,1,,1 (D),
GCA_002142675.1,ASM214267v1,Escherichia coli Z1002,Plasmid,CP021206.1,NZ_CP021206.1,111688,154,0,10,10,,1 (D),
GCA_900092615.1,PRJEB14041,Escherichia coli,Chromosome,LT601384.1,NZ_LT601384.1,5144250,4840,0,45,69,158/170,2 (A),
GCA_900174625.1,WI1-reUpload,Escherichia coli,Chromosome,LT838196.1,NZ_LT838196.1,4809920,4617,0,1,49,82/93,2 (A),
GCA_900174625.1,WI1-reUpload,Escherichia coli,Plasmid,LT838198.1,NZ_LT838198.1,60622,78,0,0,0,,2 (A),
GCA_900174625.1,WI1-reUpload,Escherichia coli,Plasmid,LT838199.1,NZ_LT838199.1,83831,100,0,0,0,,2 (A),
GCA_900174625.1,WI1-reUpload,Escherichia coli,Plasmid,LT838197.1,NZ_LT838197.1,54518,67,3,0,5,,2 (A),
GCA_900174635.1,WI2,Escherichia coli,Chromosome,LT838200.1,na,4812814,4612,0,1,-,81/92,2 (A),
GCA_900174635.1,WI2,Escherichia coli,Plasmid,LT838202.1,na,62645,75,0,0,-,,2 (A),
GCA_900174635.1,WI2,Escherichia coli,Plasmid,LT838203.1,na,60622,78,0,0,-,,2 (A),
GCA_900174635.1,WI2,Escherichia coli,Plasmid,LT838204.1,na,83831,100,0,0,-,,2 (A),
GCA_900174635.1,WI2,Escherichia coli,Plasmid,LT838201.1,na,33304,41,1,0,-,,2 (A),
GCA_900184875.1,Unitig,Escherichia coli,Chromosome,LT883142.1,na,4903991,4726,0,0,-,105/122,2 (A),
GCA_900184875.1,Unitig,Escherichia coli,Plasmid,LT883141.1,na,123705,128,0,0,-,,2 (A),
GCA_900184875.1,Unitig,Escherichia coli,Plasmid,LT883140.1,na,30364,31,0,0,-,,2 (A),
GCA_900184875.1,Unitig,Escherichia coli,Plasmid,LT883139.1,na,118720,143,0,0,-,,2 (A),
GCA_001677515.1,ASM167751v1,Escherichia coli 08-00022,Chromosome,CP013662.1,NZ_CP013662.1,5213998,5151,0,0,62,127/142,2 (A),
GCA_001677515.1,ASM167751v1,Escherichia coli 08-00022,Plasmid,CP012501.1,NZ_CP012501.1,242187,259,0,0,37,,2 (A),
GCA_002310715.1,ASM231071v1,Escherichia coli 1223,Chromosome,CP023383.1,NZ_CP023383.1,4716432,4757,0,80,80,118/130,2 (A),
GCA_002310715.1,ASM231071v1,Escherichia coli 1223,Plasmid,CP023384.1,NZ_CP023384.1,147369,182,0,10,10,,2 (A),
GCA_002310715.1,ASM231071v1,Escherichia coli 1223,Plasmid,CP023385.1,NZ_CP023385.1,87770,118,0,1,1,,2 (A),
GCA_002310675.1,ASM231067v1,Escherichia coli 127,Chromosome,CP023377.1,NZ_CP023377.1,4697886,4876,0,127,126,204/222,2 (A),
GCA_002310675.1,ASM231067v1,Escherichia coli 127,Plasmid,CP023382.1,NZ_CP023382.1,95720,130,0,3,3,,2 (A),
GCA_002310675.1,ASM231067v1,Escherichia coli 127,Plasmid,CP023378.1,NZ_CP023378.1,123289,171,0,15,15,,2 (A),
GCA_002310675.1,ASM231067v1,Escherichia coli 127,Plasmid,CP023381.1,NZ_CP023381.1,91199,112,0,0,0,,2 (A),
GCA_002310675.1,ASM231067v1,Escherichia coli 127,Plasmid,CP023379.1,NZ_CP023379.1,39598,50,0,2,2,,2 (A),
GCA_002310675.1,ASM231067v1,Escherichia coli 127,Plasmid,CP023380.1,NZ_CP023380.1,43592,63,0,2,2,,2 (A),
GCA_002310735.1,ASM231073v1,Escherichia coli 1283,Chromosome,CP023371.1,NZ_CP023371.1,4677088,4689,0,90,89,132/143,2 (A),
GCA_002310735.1,ASM231073v1,Escherichia coli 1283,Plasmid,CP023374.1,NZ_CP023374.1,3173,5,0,0,0,,2 (A),
GCA_002310735.1,ASM231073v1,Escherichia coli 1283,Plasmid,CP023373.1,NZ_CP023373.1,31364,47,0,0,0,,2 (A),
GCA_002310735.1,ASM231073v1,Escherichia coli 1283,Plasmid,CP023375.1,NZ_CP023375.1,6800,11,0,1,1,,2 (A),
GCA_002310735.1,ASM231073v1,Escherichia coli 1283,Plasmid,CP023372.1,NZ_CP023372.1,109207,153,0,11,11,,2 (A),
GCA_002310735.1,ASM231073v1,Escherichia coli 1283,Plasmid,CP023376.1,NZ_CP023376.1,92420,127,0,1,1,,2 (A),
GCA_000829985.1,ASM82998v1,Escherichia coli 1303,Chromosome,CP009166.1,NZ_CP009166.1,4948797,4491,0,27,42,73/86,2 (A),
GCA_000829985.1,ASM82998v1,Escherichia coli 1303,Plasmid,CP009167.1,NZ_CP009167.1,108501,116,0,7,8,,2 (A),
GCA_000829985.1,ASM82998v1,Escherichia coli 1303,Plasmid,CP009168.1,NZ_CP009168.1,94959,122,0,0,0,,2 (A),
GCA_000829985.1,ASM82998v1,Escherichia coli 1303,Plasmid,CP009169.1,NZ_CP009169.1,4671,5,0,0,0,,2 (A),
GCA_002855325.1,ASM285532v1,Escherichia coli 14EC001,Chromosome,CP024127.1,na,5072975,5299,0,116,-,204/218,2 (A),
GCA_002855325.1,ASM285532v1,Escherichia coli 14EC001,Plasmid,CP024128.1,na,50013,63,0,1,-,,2 (A),
GCA_002855325.1,ASM285532v1,Escherichia coli 14EC001,Plasmid,CP024129.1,na,123884,148,0,21,-,,2 (A),
GCA_002855325.1,ASM285532v1,Escherichia coli 14EC001,Plasmid,CP024130.1,na,88460,109,0,21,-,,2 (A),
GCA_002855415.1,ASM285541v1,Escherichia coli 14EC007,Chromosome,CP024131.1,na,5084741,5292,0,113,-,194/209,2 (A),
GCA_002855415.1,ASM285541v1,Escherichia coli 14EC007,Plasmid,CP024132.1,na,35098,52,0,1,-,,2 (A),
GCA_002855415.1,ASM285541v1,Escherichia coli 14EC007,Plasmid,CP024133.1,na,190293,231,0,27,-,,2 (A),
GCA_002853655.1,ASM285365v1,Escherichia coli 14EC017,Chromosome,CP024134.1,na,5199281,5401,0,121,-,185/200,2 (A),
GCA_002853655.1,ASM285365v1,Escherichia coli 14EC017,Plasmid,CP024136.1,na,93781,109,0,15,-,,2 (A),
GCA_002853655.1,ASM285365v1,Escherichia coli 14EC017,Plasmid,CP024137.1,na,107279,131,0,21,-,,2 (A),
GCA_002853655.1,ASM285365v1,Escherichia coli 14EC017,Plasmid,CP024135.1,na,63978,81,0,2,-,,2 (A),
GCA_001735705.1,ASM173570v1,Escherichia coli 210221272,Chromosome,CP016404.1,NZ_CP016404.1,4668621,4498,0,0,59,94/104,2 (A),
GCA_001735705.1,ASM173570v1,Escherichia coli 210221272,Plasmid,CP016405.1,NZ_CP016405.1,63329,79,0,0,1,,2 (A),
GCA_003033905.1,ASM303390v1,Escherichia coli 26561,Chromosome,CP027118.1,na,4719625,4744,0,79,-,116/126,2 (A),
GCA_003033905.1,ASM303390v1,Escherichia coli 26561,Plasmid,CP027119.1,na,86731,122,0,15,-,,2 (A),
GCA_003033905.1,ASM303390v1,Escherichia coli 26561,Plasmid,CP027120.1,na,54399,86,0,3,-,,2 (A),
GCA_003254065.1,ASM325406v1,Escherichia coli 51008369SK1,Chromosome,CP029973.1,na,4848222,4843,0,76,-,104/113,2 (A),
GCA_003254065.1,ASM325406v1,Escherichia coli 51008369SK1,Plasmid,CP029974.1,na,71718,102,0,4,-,,2 (A),
GCA_003254065.1,ASM325406v1,Escherichia coli 51008369SK1,Plasmid,CP029978.1,na,99465,139,0,20,-,,2 (A),
GCA_003254065.1,ASM325406v1,Escherichia coli 51008369SK1,Plasmid,CP029975.1,na,113340,152,0,6,-,,2 (A),
GCA_003254065.1,ASM325406v1,Escherichia coli 51008369SK1,Plasmid,CP029976.1,na,33826,50,0,0,-,,2 (A),
GCA_003254065.1,ASM325406v1,Escherichia coli 51008369SK1,Plasmid,CP029977.1,na,61284,90,0,1,-,,2 (A),
GCA_002142695.1,ASM214269v1,Escherichia coli 5CRE51,Chromosome,CP021175.1,NZ_CP021175.1,5041366,5091,0,69,74,135/150,2 (A),ExPEC
GCA_002142695.1,ASM214269v1,Escherichia coli 5CRE51,Plasmid,CP021177.1,NZ_CP021177.1,154099,198,0,10,11,,2 (A),ExPEC
GCA_002142695.1,ASM214269v1,Escherichia coli 5CRE51,Plasmid,CP021176.1,NZ_CP021176.1,60961,81,0,0,0,,2 (A),ExPEC
GCA_000814145.2,ASM81414v2,Escherichia coli 6409,Chromosome,CP010371.1,NZ_CP010371.1,4761012,4512,0,0,48,87/100,2 (A),
GCA_000814145.2,ASM81414v2,Escherichia coli 6409,Plasmid,CP010372.1,NZ_CP010372.1,151583,170,0,0,18,,2 (A),
GCA_000814145.2,ASM81414v2,Escherichia coli 6409,Plasmid,CP010373.2,NZ_CP010373.2,193908,224,0,0,20,,2 (A),
GCA_003030365.1,ASM303036v1,Escherichia coli 675SK2,Chromosome,CP027701.1,na,4889200,4892,0,102,-,148/157,2 (A),
GCA_003030365.1,ASM303036v1,Escherichia coli 675SK2,Plasmid,CP027703.1,na,173882,232,0,26,-,,2 (A),
GCA_002211725.1,ASM221172v1,Escherichia coli ABWA45,Chromosome,CP022154.1,NZ_CP022154.1,5094639,5238,0,169,166,256/274,2 (A),
GCA_002211725.1,ASM221172v1,Escherichia coli ABWA45,Plasmid,CP022155.1,NZ_CP022155.1,145220,184,0,28,29,,2 (A),
GCA_002211725.1,ASM221172v1,Escherichia coli ABWA45,Plasmid,CP022156.1,NZ_CP022156.1,113793,133,0,1,1,,2 (A),
GCA_002211725.1,ASM221172v1,Escherichia coli ABWA45,Plasmid,CP022157.1,NZ_CP022157.1,57232,78,0,7,7,,2 (A),
GCA_002211725.1,ASM221172v1,Escherichia coli ABWA45,Plasmid,CP022158.1,NZ_CP022158.1,47900,59,0,2,2,,2 (A),
GCA_002211725.1,ASM221172v1,Escherichia coli ABWA45,Plasmid,CP022159.1,NZ_CP022159.1,7537,11,0,0,0,,2 (A),
GCA_002788295.1,ASM278829v1,Escherichia coli AR_0011,Chromosome,CP024855.1,NZ_CP024855.1,4856773,4842,0,77,80,112/120,2 (A),
GCA_002788295.1,ASM278829v1,Escherichia coli AR_0011,Plasmid,CP024857.1,NZ_CP024857.1,76680,80,0,19,19,,2 (A),
GCA_002788295.1,ASM278829v1,Escherichia coli AR_0011,Plasmid,CP024858.1,NZ_CP024858.1,57991,82,0,0,0,,2 (A),
GCA_002788295.1,ASM278829v1,Escherichia coli AR_0011,Plasmid,CP024856.1,NZ_CP024856.1,181436,236,0,26,27,,2 (A),
GCA_002787315.1,ASM278731v1,Escherichia coli AR_0014,Chromosome,CP024859.1,NZ_CP024859.1,4839565,4820,0,75,77,108/116,2 (A),
GCA_002787315.1,ASM278731v1,Escherichia coli AR_0014,Plasmid,CP024860.1,NZ_CP024860.1,172588,224,0,27,27,,2 (A),
GCA_002787315.1,ASM278731v1,Escherichia coli AR_0014,Plasmid,CP024861.1,NZ_CP024861.1,33548,51,0,0,0,,2 (A),
GCA_002056065.1,ASM205606v1,Escherichia coli AR_0061,Chromosome,CP020058.1,NZ_CP020058.1,4595238,4699,0,15,55,91/103,2 (A),
GCA_002056065.1,ASM205606v1,Escherichia coli AR_0061,Plasmid,CP020059.1,NZ_CP020059.1,87982,113,0,6,12,,2 (A),
GCA_002056065.1,ASM205606v1,Escherichia coli AR_0061,Plasmid,CP020060.1,NZ_CP020060.1,50999,72,0,9,12,,2 (A),
GCA_003204155.1,ASM320415v1,Escherichia coli AR_0085,Chromosome,CP029741.1,na,5213052,5330,0,113,-,163/182,2 (A),
GCA_003204155.1,ASM320415v1,Escherichia coli AR_0085,Plasmid,CP029742.1,na,139740,193,0,20,-,,2 (A),
GCA_003204155.1,ASM320415v1,Escherichia coli AR_0085,Plasmid,CP029743.1,na,104555,142,0,10,-,,2 (A),
GCA_003204155.1,ASM320415v1,Escherichia coli AR_0085,Plasmid,CP029744.1,na,117192,167,0,14,-,,2 (A),
GCA_002192275.1,ASM219227v1,Escherichia coli AR_0114,Chromosome,CP021732.1,NZ_CP021732.1,4786118,4761,0,60,75,106/115,2 (A),
GCA_002192275.1,ASM219227v1,Escherichia coli AR_0114,Plasmid,CP021733.1,NZ_CP021733.1,114267,165,0,11,12,,2 (A),
GCA_002192275.1,ASM219227v1,Escherichia coli AR_0114,Plasmid,CP021734.1,NZ_CP021734.1,85195,108,0,10,11,,2 (A),
GCA_002192275.1,ASM219227v1,Escherichia coli AR_0114,Plasmid,CP021735.1,NZ_CP021735.1,31765,47,0,0,0,,2 (A),
GCA_002201835.1,ASM220183v1,Escherichia coli AR_0137,Chromosome,CP021879.1,NZ_CP021879.1,4746578,4722,0,71,86,133/143,2 (A),
GCA_002201835.1,ASM220183v1,Escherichia coli AR_0137,Plasmid,CP021881.1,NZ_CP021881.1,101165,115,0,18,19,,2 (A),
GCA_002201835.1,ASM220183v1,Escherichia coli AR_0137,Plasmid,CP021880.1,NZ_CP021880.1,169449,227,0,22,23,,2 (A),
GCA_002201835.1,ASM220183v1,Escherichia coli AR_0137,Plasmid,CP021882.1,NZ_CP021882.1,67973,101,0,3,3,,2 (A),
GCA_002180055.1,ASM218005v1,Escherichia coli AR_0149,Chromosome,CP021532.1,NZ_CP021532.1,4830167,4799,0,63,67,117/125,2 (A),
GCA_002180055.1,ASM218005v1,Escherichia coli AR_0149,Plasmid,CP021533.1,NZ_CP021533.1,48528,72,0,3,3,,2 (A),
GCA_002180055.1,ASM218005v1,Escherichia coli AR_0149,Plasmid,CP021534.1,NZ_CP021534.1,46161,63,0,4,5,,2 (A),
GCA_002192295.1,ASM219229v1,Escherichia coli AR_0150,Chromosome,CP021736.1,NZ_CP021736.1,4864149,4856,0,55,67,108/116,2 (A),
GCA_002192295.1,ASM219229v1,Escherichia coli AR_0150,Plasmid,CP021737.1,NZ_CP021737.1,117703,152,0,9,10,,2 (A),
GCA_002192295.1,ASM219229v1,Escherichia coli AR_0150,Plasmid,CP021739.1,NZ_CP021739.1,50235,73,0,3,3,,2 (A),
GCA_002192295.1,ASM219229v1,Escherichia coli AR_0150,Plasmid,CP021738.1,NZ_CP021738.1,46159,63,0,4,5,,2 (A),
GCA_002180215.1,ASM218021v1,Escherichia coli AR_0151,Chromosome,CP021691.1,NZ_CP021691.1,4862952,4855,0,54,58,106/114,2 (A),
GCA_002180215.1,ASM218021v1,Escherichia coli AR_0151,Plasmid,CP021692.1,NZ_CP021692.1,46161,63,0,4,5,,2 (A),
GCA_002180215.1,ASM218021v1,Escherichia coli AR_0151,Plasmid,CP021693.1,NZ_CP021693.1,50228,73,0,3,3,,2 (A),
GCA_002180135.1,ASM218013v1,Escherichia coli AR_0162,Chromosome,CP021683.1,NZ_CP021683.1,4810234,4799,0,57,61,108/116,2 (A),
GCA_002180135.1,ASM218013v1,Escherichia coli AR_0162,Plasmid,CP021684.1,NZ_CP021684.1,84929,116,0,8,8,,2 (A),
GCA_002180135.1,ASM218013v1,Escherichia coli AR_0162,Plasmid,CP021680.1,NZ_CP021680.1,23332,23,0,4,5,,2 (A),
