Seq_id	Size	Description
1	3412234	LEPN.0521.00005
2	3546234	LEPN.0521.00004
3	3515377	LEPN.0521.00011
4	3581477	LEPN.0521.00003
5	3471959	LEPN.0521.00014
6	3503573	LEPN.0521.00022
7	3487066	LEPN.0521.00017
8	3376636	LEPN.0521.00008
9	3498323	LEPN.0521.00018
10	3458914	LEPN.0521.00010
11	3661362	LEPN.0521.00001
12	3363033	LEPN.0521.00019
13	3458918	LEPN.0521.00007
14	3389966	LEPN.0521.00006
15	3460779	LEPN.0521.00002
16	3458918	LEPN.0521.00009
17	3611000	LEPN.0521.00016
18	3555279	LEPN.0521.00015
19	3461540	LEPN.0521.00021
20	3500943	LEPN.0521.00012
21	3548205	LEPN.0521.00020
22	3474810	LEPN.0521.00013
--------------------------------------------------------------------------------
Block #167
Seq_id	Strand	Start	End	Length
10	+	1936416	1956647	20231
11	+	2007002	2027223	20221
12	+	1869944	1890165	20221
13	+	1936419	1956650	20231
14	+	1914094	1934325	20231
15	+	1855805	1876021	20216
16	+	1936419	1956650	20231
17	-	1489224	1469008	20216
18	+	1890405	1910621	20216
19	+	1859441	1879653	20212
20	+	1885024	1905240	20216
21	-	1298093	1277877	20216
22	+	1872208	1892424	20216
--------------------------------------------------------------------------------
Block #75
Seq_id	Strand	Start	End	Length
1	+	1947092	1952314	5222
2	+	1874868	1880076	5208
3	+	1854133	1859355	5222
4	+	1910090	1915298	5208
5	+	1854410	1859632	5222
6	+	1908840	1914048	5208
7	+	1875515	1880737	5222
8	+	1904920	1910154	5234
9	+	1910043	1915250	5207
10	+	1931036	1936270	5234
11	+	2001641	2006849	5208
12	+	1864583	1869791	5208
13	+	1931039	1936273	5234
14	+	1908714	1913948	5234
15	+	1848830	1854052	5222
16	+	1931039	1936273	5234
17	-	1496200	1490978	5222
18	+	1883428	1888650	5222
19	+	1852466	1857688	5222
20	+	1878049	1883271	5222
21	-	1305068	1299846	5222
22	+	1865233	1870455	5222
--------------------------------------------------------------------------------
Block #74
Seq_id	Strand	Start	End	Length
1	+	1912265	1942307	30042
2	+	1843977	1874009	30032
3	+	1820539	1850570	30031
4	+	1879199	1909231	30032
5	+	1820816	1850847	30031
6	+	1877949	1907981	30032
7	+	1841922	1871952	30030
8	+	1871247	1901463	30216
9	+	1879152	1909184	30032
10	+	1897558	1927579	30021
11	+	1970749	2000782	30033
12	+	1833692	1863724	30032
13	+	1897561	1927582	30021
14	+	1875041	1905257	30216
15	+	1815236	1845267	30031
16	+	1897561	1927582	30021
17	-	1529793	1499761	30032
18	+	1849834	1879866	30032
19	+	1818871	1848903	30032
20	+	1844455	1874486	30031
21	-	1338662	1308631	30031
22	+	1831639	1861670	30031
--------------------------------------------------------------------------------
Block #73
Seq_id	Strand	Start	End	Length
1	+	1885933	1907565	21632
2	+	1817648	1839281	21633
3	+	1798036	1820267	22231
4	+	1852870	1874503	21633
5	+	1798313	1820544	22231
6	+	1851622	1873253	21631
7	+	1819419	1841650	22231
8	+	1844889	1866527	21638
9	+	1852825	1874456	21631
10	+	1871200	1892838	21638
11	+	1944420	1966053	21633
12	+	1807444	1828996	21552
13	+	1871203	1892841	21638
14	+	1848683	1870321	21638
15	+	1792733	1814964	22231
16	+	1871203	1892841	21638
17	-	1557184	1534489	22695
18	+	1827332	1849562	22230
19	+	1796368	1818599	22231
20	+	1821952	1844183	22231
21	-	1361165	1338934	22231
22	+	1809136	1831367	22231
--------------------------------------------------------------------------------
Block #72
Seq_id	Strand	Start	End	Length
1	+	1854779	1885923	31144
2	+	1786357	1817638	31281
3	+	1766883	1798026	31143
4	+	1821579	1852860	31281
5	+	1767160	1798303	31143
6	+	1817158	1848433	31275
7	+	1788266	1819409	31143
8	+	1813594	1844879	31285
9	+	1818359	1849637	31278
10	+	1839905	1871190	31285
11	+	1911604	1942885	31281
12	+	1776131	1807407	31276
13	+	1839908	1871193	31285
14	+	1817388	1848673	31285
15	+	1761580	1792723	31143
16	+	1839908	1871193	31285
17	-	1588338	1557194	31144
18	+	1796178	1827322	31144
19	+	1765215	1796358	31143
20	+	1790799	1821942	31143
21	-	1392325	1361175	31150
22	+	1777983	1809126	31143
--------------------------------------------------------------------------------
Block #71
Seq_id	Strand	Start	End	Length
1	+	1842786	1850803	8017
2	+	1775742	1783757	8015
3	+	1756266	1764283	8017
4	+	1810964	1818979	8015
5	+	1756543	1764560	8017
6	+	1806543	1814558	8015
7	+	1777649	1785666	8017
8	+	1799176	1807313	8137
9	+	1807744	1815759	8015
10	+	1825487	1833624	8137
11	+	1900989	1909004	8015
12	+	1765677	1773692	8015
13	+	1825490	1833627	8137
14	+	1802970	1811107	8137
15	+	1750963	1758980	8017
16	+	1825490	1833627	8137
17	-	1598955	1590938	8017
18	+	1785561	1793578	8017
19	+	1754598	1762615	8017
20	+	1780182	1788199	8017
21	-	1402942	1394925	8017
22	+	1767366	1775383	8017
--------------------------------------------------------------------------------
Block #70
Seq_id	Strand	Start	End	Length
1	+	1831159	1841295	10136
2	+	1763306	1773442	10136
3	+	1743829	1753966	10137
4	+	1798528	1808664	10136
5	+	1744106	1754243	10137
6	+	1794107	1804243	10136
7	+	1765212	1775349	10137
8	+	1786747	1796876	10129
9	+	1795308	1805444	10136
10	+	1813058	1823187	10129
11	+	1888553	1898689	10136
12	+	1753243	1763377	10134
13	+	1813061	1823190	10129
14	+	1790541	1800670	10129
15	+	1738526	1748663	10137
16	+	1813061	1823190	10129
17	-	1611391	1601255	10136
18	+	1773135	1783272	10137
19	+	1742161	1752298	10137
20	+	1767745	1777882	10137
21	-	1415379	1405242	10137
22	+	1754929	1765066	10137
--------------------------------------------------------------------------------
Block #69
Seq_id	Strand	Start	End	Length
1	+	1779862	1801565	21703
2	+	1702986	1724689	21703
3	+	1692623	1714356	21733
4	+	1738208	1759911	21703
5	+	1692900	1714633	21733
6	+	1739968	1761671	21703
7	+	1714005	1735738	21733
8	+	1731699	1753433	21734
9	+	1741172	1762874	21702
10	+	1758009	1779744	21735
11	+	1827990	1849682	21692
12	+	1697837	1719540	21703
13	+	1758012	1779747	21735
14	+	1735492	1757227	21735
15	+	1687320	1709053	21733
16	+	1758012	1779747	21735
17	-	1665195	1643462	21733
18	+	1720423	1742155	21732
19	+	1690955	1712688	21733
20	+	1716539	1738272	21733
21	-	1466585	1444852	21733
22	+	1703723	1725456	21733
--------------------------------------------------------------------------------
Block #68
Seq_id	Strand	Start	End	Length
1	+	1759705	1779659	19954
2	+	1682745	1702783	20038
3	+	1672482	1692420	19938
4	+	1717967	1738005	20038
5	+	1672759	1692697	19938
6	+	1719817	1739765	19948
7	+	1693864	1713802	19938
8	+	1711554	1731496	19942
9	+	1721020	1740969	19949
10	+	1737864	1757806	19942
11	+	1796605	1816544	19939
12	+	1677690	1697634	19944
13	+	1737867	1757809	19942
14	+	1715347	1735289	19942
15	+	1667179	1687117	19938
16	+	1737867	1757809	19942
17	-	1685336	1665398	19938
18	+	1700282	1720220	19938
19	+	1670814	1690752	19938
20	+	1696398	1716336	19938
21	-	1486726	1466788	19938
22	+	1683582	1703520	19938
--------------------------------------------------------------------------------
Block #67
Seq_id	Strand	Start	End	Length
1	+	1717256	1759496	42240
2	+	1634256	1676512	42256
3	+	1630035	1672292	42257
4	+	1669478	1711734	42256
5	+	1630312	1672569	42257
6	+	1671323	1713579	42256
7	+	1651417	1693674	42257
8	+	1669140	1711380	42240
9	+	1672529	1714782	42253
10	+	1695456	1737690	42234
11	+	1746655	1788911	42256
12	+	1629197	1671452	42255
13	+	1695459	1737693	42234
14	+	1672939	1715173	42234
15	+	1624732	1666989	42257
16	+	1695459	1737693	42234
17	-	1727784	1685526	42258
18	+	1657832	1700092	42260
19	+	1628367	1670624	42257
20	+	1653951	1696208	42257
21	-	1529173	1486916	42257
22	+	1641135	1683392	42257
--------------------------------------------------------------------------------
Block #66
Seq_id	Strand	Start	End	Length
1	+	1694280	1715169	20889
2	+	1613510	1634114	20604
3	+	1607058	1627948	20890
4	+	1648732	1669336	20604
5	+	1607335	1628225	20890
6	+	1650582	1671181	20599
7	+	1628441	1649330	20889
8	+	1645988	1667053	21065
9	+	1651788	1672387	20599
10	+	1672304	1693369	21065
11	+	1725909	1746513	20604
12	+	1608451	1629055	20604
13	+	1672307	1693372	21065
14	+	1649787	1670852	21065
15	+	1601755	1622645	20890
16	+	1672307	1693372	21065
17	-	1750761	1729871	20890
18	+	1634855	1655745	20890
19	+	1605390	1626280	20890
20	+	1630974	1651864	20890
21	-	1552150	1531260	20890
22	+	1618158	1639048	20890
--------------------------------------------------------------------------------
Block #65
Seq_id	Strand	Start	End	Length
1	+	1684829	1694270	9441
2	+	1604115	1613500	9385
3	+	1597660	1607048	9388
4	+	1639337	1648722	9385
5	+	1597937	1607325	9388
6	+	1641187	1650572	9385
7	+	1619043	1628431	9388
8	+	1636544	1645978	9434
9	+	1642394	1651778	9384
10	+	1662860	1672294	9434
11	+	1716514	1725899	9385
12	+	1597790	1607175	9385
13	+	1662863	1672297	9434
14	+	1640343	1649777	9434
15	+	1592357	1601745	9388
16	+	1662863	1672297	9434
17	-	1760211	1750771	9440
18	+	1625405	1634845	9440
19	+	1595992	1605380	9388
20	+	1621576	1630964	9388
21	-	1561548	1552160	9388
22	+	1608760	1618148	9388
--------------------------------------------------------------------------------
Block #64
Seq_id	Strand	Start	End	Length
1	+	1657394	1681629	24235
2	+	1577001	1601252	24251
3	+	1570328	1594461	24133
4	+	1612223	1636474	24251
5	+	1570605	1594738	24133
6	+	1610224	1634452	24228
7	+	1591711	1615844	24133
8	+	1603104	1627326	24222
9	+	1611432	1635659	24227
10	+	1629420	1653642	24222
11	+	1686459	1710734	24275
12	+	1566960	1591188	24228
13	+	1629423	1653645	24222
14	+	1606903	1631125	24222
15	+	1565025	1589158	24133
16	+	1629423	1653645	24222
17	-	1787544	1763410	24134
18	+	1598072	1622205	24133
19	+	1568660	1592793	24133
20	+	1594244	1618377	24133
21	-	1588880	1564746	24134
22	+	1581428	1605561	24133
--------------------------------------------------------------------------------
Block #63
Seq_id	Strand	Start	End	Length
1	+	1637839	1657392	19553
2	+	1557373	1576999	19626
3	+	1550685	1570326	19641
4	+	1592595	1612221	19626
5	+	1550962	1570603	19641
6	+	1588527	1608185	19658
7	+	1572068	1591709	19641
8	+	1581559	1601128	19569
9	+	1589738	1609393	19655
10	+	1607876	1627444	19568
11	+	1664693	1684420	19727
12	+	1545263	1564921	19658
13	+	1607878	1627447	19569
14	+	1585358	1604927	19569
15	+	1545382	1565023	19641
16	+	1607878	1627447	19569
17	-	1807187	1787545	19642
18	+	1578429	1598070	19641
19	+	1549017	1568658	19641
20	+	1574601	1594242	19641
21	-	1608523	1588881	19642
22	+	1561785	1581426	19641
--------------------------------------------------------------------------------
Block #62
Seq_id	Strand	Start	End	Length
1	+	1630641	1637703	7062
2	+	1550172	1557237	7065
3	+	1543485	1550549	7064
4	+	1585394	1592459	7065
5	+	1543762	1550826	7064
6	+	1579424	1586881	7457
7	+	1564868	1571932	7064
8	+	1573945	1581423	7478
9	+	1580635	1588092	7457
10	+	1600262	1607740	7478
11	+	1655589	1663046	7457
12	+	1536160	1543617	7457
13	+	1600264	1607742	7478
14	+	1577744	1585222	7478
15	+	1538182	1545246	7064
16	+	1600264	1607742	7478
17	-	1814387	1807323	7064
18	+	1571229	1578293	7064
19	+	1541817	1548881	7064
20	+	1567401	1574465	7064
21	-	1615723	1608659	7064
22	+	1554585	1561649	7064
--------------------------------------------------------------------------------
Block #61
Seq_id	Strand	Start	End	Length
1	+	1592006	1630414	38408
2	+	1511568	1549945	38377
3	+	1504853	1543258	38405
4	+	1546790	1585167	38377
5	+	1505130	1543535	38405
6	+	1540820	1579197	38377
7	+	1526236	1564641	38405
8	+	1534028	1572433	38405
9	+	1542033	1580408	38375
10	+	1560345	1598750	38405
11	+	1616985	1655362	38377
12	+	1497556	1535933	38377
13	+	1560347	1598752	38405
14	+	1537827	1576232	38405
15	+	1499550	1537955	38405
16	+	1560347	1598752	38405
17	-	1853019	1814614	38405
18	+	1532597	1571002	38405
19	+	1503185	1541590	38405
20	+	1528769	1567174	38405
21	-	1654355	1615950	38405
22	+	1515953	1554358	38405
--------------------------------------------------------------------------------
Block #60
Seq_id	Strand	Start	End	Length
1	+	1571676	1581544	9868
2	+	1483827	1493695	9868
3	+	1481377	1491245	9868
4	+	1519049	1528917	9868
5	+	1481654	1491522	9868
6	+	1520585	1530451	9866
7	+	1502760	1512628	9868
8	+	1513737	1523605	9868
9	+	1521797	1531664	9867
10	+	1540054	1549922	9868
11	+	1589289	1599157	9868
12	+	1477319	1487187	9868
13	+	1540056	1549924	9868
14	+	1517536	1527404	9868
15	+	1475919	1485781	9862
16	+	1540056	1549924	9868
17	-	1876495	1866627	9868
18	+	1509121	1518989	9868
19	+	1479709	1489577	9868
20	+	1505293	1515161	9868
21	-	1677831	1667963	9868
22	+	1492477	1502345	9868
--------------------------------------------------------------------------------
Block #59
Seq_id	Strand	Start	End	Length
1	+	1556034	1565868	9834
2	+	1468502	1478334	9832
3	+	1465736	1475570	9834
4	+	1503724	1513556	9832
5	+	1466013	1475847	9834
6	+	1505256	1515088	9832
7	+	1487119	1496953	9834
8	+	1497537	1507372	9835
9	+	1506467	1516300	9833
10	+	1523854	1533689	9835
11	+	1572505	1582326	9821
12	+	1461989	1471822	9833
13	+	1523856	1533691	9835
14	+	1501336	1511171	9835
15	+	1461891	1471697	9806
16	+	1523856	1533691	9835
17	-	1892136	1882302	9834
18	+	1493480	1503314	9834
19	+	1464068	1473902	9834
20	+	1489652	1499486	9834
21	-	1693472	1683638	9834
22	+	1476836	1486670	9834
--------------------------------------------------------------------------------
Block #58
Seq_id	Strand	Start	End	Length
1	+	1533604	1555937	22333
2	+	1445960	1468405	22445
3	+	1437437	1459774	22337
4	+	1481182	1503627	22445
5	+	1437714	1460051	22337
6	+	1482683	1505159	22476
7	+	1458821	1481158	22337
8	+	1475036	1497442	22406
9	+	1483894	1506370	22476
10	+	1501353	1523759	22406
11	+	1549947	1572408	22461
12	+	1439446	1461892	22446
13	+	1501355	1523761	22406
14	+	1478835	1501241	22406
15	+	1436172	1458506	22334
16	+	1501355	1523761	22406
17	-	1923032	1900695	22337
18	+	1465181	1487518	22337
19	+	1435769	1458106	22337
20	+	1461353	1483690	22337
21	-	1721771	1699434	22337
22	+	1448537	1470874	22337
--------------------------------------------------------------------------------
Block #57
Seq_id	Strand	Start	End	Length
1	+	1499134	1525998	26864
2	+	1405306	1432174	26868
3	+	1405022	1431888	26866
4	+	1440528	1467396	26868
5	+	1405299	1432165	26866
6	+	1449818	1476683	26865
7	+	1426406	1453272	26866
8	+	1446633	1473497	26864
9	+	1451030	1477894	26864
10	+	1472950	1499814	26864
11	+	1508907	1535773	26866
12	+	1406580	1433446	26866
13	+	1472952	1499816	26864
14	+	1450432	1477296	26864
15	+	1403757	1430623	26866
16	+	1472952	1499816	26864
17	-	1955447	1928580	26867
18	+	1432766	1459632	26866
19	+	1403354	1430220	26866
20	+	1428938	1455804	26866
21	-	1754186	1727319	26867
22	+	1416122	1442988	26866
--------------------------------------------------------------------------------
Block #56
Seq_id	Strand	Start	End	Length
1	+	1460706	1494644	33938
2	+	1370308	1404428	34120
3	+	1366321	1400464	34143
4	+	1405530	1439650	34120
5	+	1366598	1400741	34143
6	+	1414785	1448940	34155
7	+	1387705	1421848	34143
8	+	1407872	1442145	34273
9	+	1415997	1450152	34155
10	+	1434189	1468462	34273
11	+	1474021	1508029	34008
12	+	1371548	1405702	34154
13	+	1434191	1468464	34273
14	+	1411671	1445944	34273
15	+	1365056	1399199	34143
16	+	1434191	1468464	34273
17	-	1996717	1962604	34113
18	+	1394005	1428208	34203
19	+	1364653	1398796	34143
20	+	1390237	1424380	34143
21	-	1792887	1758744	34143
22	+	1377421	1411564	34143
--------------------------------------------------------------------------------
Block #55
Seq_id	Strand	Start	End	Length
1	+	1441758	1458719	16961
2	+	1353064	1370197	17133
3	+	1347323	1364325	17002
4	+	1388286	1405419	17133
5	+	1347600	1364602	17002
6	+	1397541	1414674	17133
7	+	1368707	1385709	17002
8	+	1388510	1405649	17139
9	+	1398754	1415886	17132
10	+	1414827	1431966	17139
11	+	1456777	1473910	17133
12	+	1354304	1371437	17133
13	+	1414829	1431968	17139
14	+	1392309	1409448	17139
15	+	1346058	1363060	17002
16	+	1414829	1431968	17139
17	-	2015715	1998713	17002
18	+	1375007	1392009	17002
19	+	1345655	1362657	17002
20	+	1371239	1388241	17002
21	-	1811885	1794883	17002
22	+	1358423	1375425	17002
--------------------------------------------------------------------------------
Block #54
Seq_id	Strand	Start	End	Length
1	+	1420109	1435059	14950
2	+	1337984	1352946	14962
3	+	1313980	1328928	14948
4	+	1373206	1388168	14962
5	+	1314257	1329205	14948
6	+	1382461	1397423	14962
7	+	1335364	1350312	14948
8	+	1373326	1388391	15065
9	+	1383674	1398636	14962
10	+	1399643	1414708	15065
11	+	1441697	1456659	14962
12	+	1339224	1354186	14962
13	+	1399645	1414710	15065
14	+	1377125	1392190	15065
15	+	1312715	1327663	14948
16	+	1399645	1414710	15065
17	-	2037594	2022644	14950
18	+	1353128	1368078	14950
19	+	1312312	1327260	14948
20	+	1337896	1352844	14948
21	-	1845228	1830280	14948
22	+	1325080	1340028	14948
--------------------------------------------------------------------------------
Block #53
Seq_id	Strand	Start	End	Length
1	+	1401825	1419703	17878
2	+	1316522	1334398	17876
3	+	1295680	1313574	17894
4	+	1351743	1369619	17876
5	+	1295957	1313851	17894
6	+	1360992	1378874	17882
7	+	1317064	1334958	17894
8	+	1351840	1369744	17904
9	+	1362208	1380087	17879
10	+	1378157	1396061	17904
11	+	1420230	1438110	17880
12	+	1317754	1335637	17883
13	+	1378159	1396063	17904
14	+	1355639	1373543	17904
15	+	1294415	1312309	17894
16	+	1378159	1396063	17904
17	-	2059058	2041175	17883
18	+	1331664	1349547	17883
19	+	1294012	1311906	17894
20	+	1319596	1337490	17894
21	-	1863528	1845634	17894
22	+	1306780	1324674	17894
--------------------------------------------------------------------------------
Block #52
Seq_id	Strand	Start	End	Length
1	+	1361687	1401735	40048
2	+	1275566	1316436	40870
3	+	1253937	1293983	40046
4	+	1310787	1351657	40870
5	+	1254214	1294260	40046
6	+	1320034	1360906	40872
7	+	1275321	1315367	40046
8	+	1311567	1351754	40187
9	+	1321252	1362122	40870
10	+	1337883	1378071	40188
11	+	1379274	1420144	40870
12	+	1276798	1317668	40870
13	+	1337885	1378073	40188
14	+	1315366	1355553	40187
15	+	1252672	1292718	40046
16	+	1337885	1378073	40188
17	-	2100810	2060755	40055
18	+	1289922	1329966	40044
19	+	1252269	1292315	40046
20	+	1277853	1317899	40046
21	-	1905271	1865224	40047
22	+	1265037	1305083	40046
--------------------------------------------------------------------------------
Block #51
Seq_id	Strand	Start	End	Length
1	+	1349627	1360164	10537
2	+	1262811	1273349	10538
3	+	1241878	1252417	10539
4	+	1298032	1308570	10538
5	+	1242155	1252694	10539
6	+	1307977	1318515	10538
7	+	1263262	1273801	10539
8	+	1299618	1310156	10538
9	+	1309194	1319732	10538
10	+	1325934	1336472	10538
11	+	1366519	1377057	10538
12	+	1264740	1275278	10538
13	+	1325936	1336474	10538
14	+	1303417	1313955	10538
15	+	1240613	1251152	10539
16	+	1325936	1336474	10538
17	-	2112869	2102330	10539
18	+	1277863	1288402	10539
19	+	1240210	1250749	10539
20	+	1265794	1276333	10539
21	-	1917330	1906791	10539
22	+	1252978	1263517	10539
--------------------------------------------------------------------------------
Block #50
Seq_id	Strand	Start	End	Length
1	+	1335796	1343936	8140
2	+	1250550	1258818	8268
3	+	1229569	1237709	8140
4	+	1285771	1294039	8268
5	+	1229846	1237986	8140
6	+	1295710	1303985	8275
7	+	1250953	1259093	8140
8	+	1287538	1295601	8063
9	+	1296926	1305201	8275
10	+	1313853	1321917	8064
11	+	1354326	1362526	8200
12	+	1252472	1260747	8275
13	+	1313855	1321919	8064
14	+	1291337	1299400	8063
15	+	1228304	1236444	8140
16	+	1313855	1321919	8064
17	-	2126612	2118499	8113
18	+	1253884	1262024	8140
19	+	1227901	1236041	8140
20	+	1253485	1261625	8140
21	-	1929639	1921499	8140
22	+	1240669	1248809	8140
--------------------------------------------------------------------------------
Block #49
Seq_id	Strand	Start	End	Length
1	+	1323648	1335718	12070
2	+	1238457	1250508	12051
3	+	1217456	1229529	12073
4	+	1273678	1285729	12051
5	+	1217733	1229806	12073
6	+	1283619	1295671	12052
7	+	1238840	1250913	12073
8	+	1275456	1287498	12042
9	+	1284833	1296887	12054
10	+	1301771	1313813	12042
11	+	1342233	1354287	12054
12	+	1240380	1252433	12053
13	+	1301773	1313815	12042
14	+	1279255	1291297	12042
15	+	1216191	1228264	12073
16	+	1301773	1313815	12042
17	-	2141324	2129259	12065
18	+	1241771	1253844	12073
19	+	1215788	1227861	12073
20	+	1241372	1253445	12073
21	-	1941752	1929679	12073
22	+	1228556	1240629	12073
--------------------------------------------------------------------------------
Block #48
Seq_id	Strand	Start	End	Length
1	+	1310684	1321825	11141
2	+	1225685	1236463	10778
3	+	1204492	1215633	11141
4	+	1260906	1271684	10778
5	+	1204769	1215910	11141
6	+	1268211	1278982	10771
7	+	1225876	1237017	11141
8	+	1259516	1270857	11341
9	+	1269423	1280196	10773
10	+	1285831	1297172	11341
11	+	1329468	1340247	10779
12	+	1224971	1235743	10772
13	+	1285833	1297174	11341
14	+	1263315	1274656	11341
15	+	1203227	1214368	11141
16	+	1285833	1297174	11341
17	-	2156734	2145961	10773
18	+	1228808	1239948	11140
19	+	1202824	1213965	11141
20	+	1228408	1239549	11141
21	-	1954716	1943575	11141
22	+	1215592	1226733	11141
--------------------------------------------------------------------------------
Block #47
Seq_id	Strand	Start	End	Length
1	+	1293217	1301400	8183
2	+	1209114	1215730	6616
3	+	1187010	1195193	8183
4	+	1244335	1250951	6616
5	+	1187287	1195470	8183
6	+	1251792	1258408	6616
7	+	1208394	1216577	8183
8	+	1235510	1243669	8159
9	+	1253005	1259620	6615
10	+	1261825	1269984	8159
11	+	1313058	1319674	6616
12	+	1208555	1215168	6613
13	+	1261827	1269986	8159
14	+	1239309	1247468	8159
15	+	1185745	1193928	8183
16	+	1261827	1269986	8159
17	-	2177328	2169145	8183
18	+	1211381	1219558	8177
19	+	1185342	1193525	8183
20	+	1210926	1219109	8183
21	-	1972198	1964015	8183
22	+	1198110	1206293	8183
--------------------------------------------------------------------------------
Block #46
Seq_id	Strand	Start	End	Length
1	+	1248505	1254107	5602
3	+	2610487	2616189	5702
3	+	3006267	3011806	5539
5	+	2963126	2968665	5539
6	-	1166686	1160984	5702
7	+	2978399	2983938	5539
8	-	1160429	1154727	5702
9	-	1167893	1162191	5702
10	-	1186744	1181042	5702
11	-	1259952	1254274	5678
13	-	1186746	1181044	5702
14	-	1164228	1158526	5702
15	+	2951947	2957486	5539
16	-	1186746	1181044	5702
17	+	3099461	3105006	5545
18	+	3038682	3044227	5545
19	+	2952872	2958411	5539
20	+	2983160	2988699	5539
21	+	3028810	3034349	5539
22	+	2970056	2975595	5539
--------------------------------------------------------------------------------
Block #45
Seq_id	Strand	Start	End	Length
1	+	1236462	1246981	10519
3	+	2582151	2592628	10477
3	+	2994469	3004464	9995
5	+	2951328	2961323	9995
6	-	1194482	1184544	9938
7	+	2966601	2976596	9995
8	-	1188765	1178288	10477
9	-	1195690	1185752	9938
10	-	1215080	1204603	10477
11	-	1273676	1263199	10477
13	-	1215082	1204605	10477
14	-	1192564	1182087	10477
15	+	2940149	2950144	9995
16	-	1215082	1204605	10477
17	+	3087610	3097607	9997
18	+	3026831	3036828	9997
19	+	2941074	2951069	9995
20	+	2971362	2981357	9995
21	+	3017012	3027007	9995
22	+	2956257	2966252	9995
--------------------------------------------------------------------------------
Block #44
Seq_id	Strand	Start	End	Length
1	+	1195125	1204893	9768
2	-	2295503	2285737	9766
4	-	2330724	2320958	9766
11	-	2417618	2407852	9766
12	+	1145626	1155383	9757
--------------------------------------------------------------------------------
Block #43
Seq_id	Strand	Start	End	Length
1	+	1115875	1157059	41184
2	+	1086984	1127241	40257
3	+	1129671	1169958	40287
4	+	1122205	1162462	40257
5	+	1129948	1170235	40287
6	+	1059515	1099770	40255
7	+	1151055	1191342	40287
8	+	1053423	1093517	40094
9	+	1060724	1100979	40255
10	+	1079547	1119832	40285
11	+	1161603	1201860	40257
12	+	1068673	1108929	40256
13	+	1079549	1119834	40285
14	+	1057222	1097316	40094
15	+	1128406	1168693	40287
16	+	1079549	1119834	40285
17	-	2244124	2203902	40222
18	+	1153541	1193796	40255
19	+	1128003	1168290	40287
20	+	1153587	1193874	40287
21	-	2030542	1989250	41292
22	+	1140771	1181058	40287
--------------------------------------------------------------------------------
Block #42
Seq_id	Strand	Start	End	Length
1	+	1095804	1113375	17571
2	+	1069318	1086874	17556
3	+	1109624	1127185	17561
4	+	1104539	1122095	17556
5	+	1109901	1127462	17561
6	+	1041849	1059405	17556
7	+	1131008	1148569	17561
8	+	1033352	1050923	17571
9	+	1043064	1060614	17550
